"location","text"
"sent.Dionys._1.1","βραδύς@b δηλόω@viaa2s περί@p ὁ@dgfs νῦν@b διάλεξις@ngfsc ὁ@dgfs γίγνομαι@vpamgfs παρά@p σύ@rpdmp πρός@p ὁ@damp χριστομάχος@anamp- καί@b γάρ@b πρίν@cs γράφω@vnaa-- ὁ@dafs σός@anafs- διάθεσις@nafsc μανθάνω@viaa1s φιλοπευστέω@ngmpc καί@b ἡδέως@b ἀκούω@vppanms περί@p ὁ@dgnp τοιοῦτος@rpgnp ὁ@dafs μέν@b οὖν@b σός@anafs- εὐλάβεια@nafsc ἀποδέχομαι@viam1s καλός@b φρονέω@vppaafs περί@p ὁ@dgmp μακάριος@angmp- πατήρ@ngmpc ἐγώ@rpgcp ὁ@dgmp δέ@cs ἀρειομανίτης@ngmpp ὁ@dafs ἀλογία@nafsc καί@b νῦν@b ἐπιγιγνώσκω@viaa1s"
"sent.Dionys._1.2","οὐδείς@rpnns γάρ@b οὐ@b τε@b εὔλογος@annns- οὐ@b τε@cs πρός@p ἀπόδειξις@nafsc ἐκ@p ὁ@dgfs θεῖος1@angfs- γραφή@ngfsc ῥητός@anans- ἔχω@vppagfs ὁ@dgfs αἵρεσις@ngfsc αὐτός@rpgmp ἀεί@b μέν@b πρόφασις@nafpc ἀναίσχυντος@anafp- πορίζω@viie3p καί@cs σόφισμα@nanpc πιθανός@ananp- νῦν@b δέ@cs καί@b διαβάλλω@vnpa-- ὁ@damp πατήρ@nampc τολμάω@vira3p καί@b οὐ@b ἀλλότριος@annns- γε@b ἀλλά@cs καί@b οἰκεῖος@annns- οὗτος@rpnns ὁ@dgfs κακοβουλία@ngfsc εἰμί@vipa3s αὐτός@rpgmp ὁ@dnmp γάρ@b κατά@p ὁ@dgms κύριος@ngmsc καί@cs κατά@p ὁ@dgms χριστός@ngmsc αὐτός@rpgms μελετάω@vnpa-- ἐπιχειρέω@vpaanmp τίς@rpnns θαυμαστός@annns- εἰ@cs καί@b ὁ@dams μακαρίτης@namsc διονύσιος@namsp ὁ@dams ἐπίσκοπος@namsc ἀλεξάνδρεια@ngfsp ὡς@b ὁμόφρων@anams- ἑαυτοῦ@rpgmp καί@cs ὁμόφρων@anams- λοιδορέω@vipa3p"
"sent.Dionys._1.3","ὅς@rpams γάρ@b ἐάν@cs οὗτος@rpnmp πρός@p σύστασις@nafsc ὁ@dgfs ἑαυτοῦ@rpgmp αἵρεσις@ngfsc δοκέω@vsaa3p εὐφημέω@vnpa-- καί@b ἄν@cs μακάριος@anams- αὐτός@rpams ὀνομάζω@vspa3p οὗτος@rpams οὐ@b ἁπλῶς@b ἀλλά@cs καί@b μεγάλως@b διαβάλλω@vipa3p ὥσπερ@cs λῃστής@nnmpc τις@annmp- καί@cs ὁ@dams τρόπος@namsc ἄσεμνος@annmp- ὅς@rpnmp ἐπειδάν@cs ἐπί@p ὁ@ddnp ἴδιος@andnp- ἐπιτήδευμα@ndnpc ὀνειδίζω@vspe3p ὁ@damp σώφρων@anamp- συναριθμέω@vipa3p ἑαυτοῦ@rpdmp καταψεύδω@vppenmp ὁ@dgfs ἐκεῖνος@rpgmp σωφροσύνη@ngfsc"
"sent.Dionys._2.1","εἰ@cs μέν@b οὖν@b θαρσέω@vipa3p ὅς@rpdnp φρονέω@vipa3p καί@cs λέγω3@vipa3p προφέρω@vmpa3p γυμνός@anafs- ὁ@dafs αἵρεσις@nafsc καί@cs δείκνυμι@vmpa3p ἐκ@p αὐτός@rpgfs εἰ@cs τις@rpacs νομίζω@vipa3p ἤ1@b ἐκ@p ὁ@dgfp γραφή@ngfpc ἔχω@vnpa-- ἤ1@cs καί@b ἄν@cs ἀνθρώπινος@anams- τις@rpacs λογισμός@namsc εὐσεβής@anams- πρός@p ἀπολογία@nafsc εἰ@cs δέ@b μηδείς@rpans τις@rpans τοιοῦτος@anans- ἔχω@vipa3p σιωπάω@vipa3p"
"sent.Dionys._2.2","οὐδαμόθεν@b γάρ@b εὑρίσκω@vifa3p εἰ@cs μή@b μᾶλλον@b ἔλεγχος2@namsc κατά@p ἑαυτοῦ@rpgmp ἀπό@p μέν@b ὁ@dgfp γραφή@ngfpc ὁ@dgms μέν@b ἰώαννης@ngmsp λέγω3@vppagms ἐν@p ἀρχή@ndfsc εἰμί@viia3s ὁ@dnms λόγος@nnmsc ὅς@rpams οὗτος@rpnmp λέγω3@vipa3p οὐ@b εἰμί@viia3s πρίν@cs γεννάω@vsap3s ὁ@dgms δέ@b δαυίδ@ngmsp ψάλλω@vppagms ἐκ@p πρόσωπον@ngnsc ὁ@dgms πατήρ@ngmsc ἐκλέγω@viam3s ὁ@dnfs καρδία@nnfsc ἐγώ@rpgms λόγος@namsc ἀγαθός@anams- ὅς@rpams οὗτος@rpnmp λέγω3@vipa3p κατά@p ἐπίνοια@nafsc εἰμί@vnpa-- καί@cs ἐκ@p οὐ@b εἰμί@vppagnp γίγνομαι@vnre-- εἶτα@b ὁ@dgms μέν@b ἰώαννης@ngmsp πάλιν@b εὐαγγελιόομαι@vppegms ὅτι@cs πᾶς@annnp- διά@p αὐτός@rpgms γίγνομαι@viam3s καί@cs χωρίς@p αὐτός@rpgms γίγνομαι@viam3s οὐ@b δέ@b εἷς@nnnsc ὁ@dgms δέ@cs παῦλος@ngmsp γράφω@vppagms εἷς@nnmsc κύριος@nnmsc ἰησοῦς@ngfsp χριστός@nnmsp διά@p ὅς@rpgms ὁ@dnnp πᾶς@annnp- καί@cs ἐν@p ἕτερος@andnp- ὅτι@cs ἐν@p αὐτός@rpdns ἐκτίνω@viap3s ὁ@dnnp πᾶς@annnp-"
"sent.Dionys._2.3","ποῖος@anafs- παρρησία@nafsc ἔχω@vifa3p οὗτος@rpnmp καί@cs οὐ@b μᾶλλον@b αἰσχύνη@nafsc ὀφλέω@vifa3p ἐναντιόομαι@vppenmp ὁ@ddnp ὁ@dgnp ἅγιος@angnp- ῥῆμα@ndnpc ὅταν@cs λέγω3@vspa3p ποίημα@nansc εἰμί@vnpa-- ὁ@dams ὁ@dgnp πᾶς@angnp- δημιουργός@namsc καί@cs κτίσμα@nansc οὗτος@anans- ἐν@p ὅς@rpdns ὁ@dnnp κτίσμα@nnnpc γίγνομαι@vira3s καί@cs συνίστημι@vira3s"
"sent.Dionys._2.4","οὐ@b δέ@b ἀνθρώπινος@annms- δέ@b τις@annms- αὐτός@rpdmp λογισμός@nnmsc εὐσεβής@annms- εἰς@p ἀπολογία@nafsc περιλείπομαι@vipe3s τις@rpnms γάρ@b ἄνθρωπος@ngmpc ἤ1@b ἕλλην@nnmsp ἤ1@cs βάρβαρος@nnmsc ὅς@rpams ὁμολογέω@vipa3s θεός@namsc οὗτος@rpams ἐπιχειρέω@vifa3s κτίσμα@nansc λέγω3@vnpa-- ἤ1@cs ὅτι@cs οὐ@b εἰμί@viia3s πρίν@cs γίγνομαι@vsam3s ἤ1@b τις@rpncs ἄνθρωπος@ngmpc ἀκούω@vpaanms παρά@p οὗτος@rpgms ὅς@rpams πιστεύω@viaa3s μόνος@anams- εἰμί@vnpa-- θεός@namsc λέγω3@vppagms οὗτος@rpnms εἰμί@vipa3s ὁ@dnms υἱός@nnmsc ἐγώ@rpgcs ὁ@dnms ἀγαπητός@annms- καί@cs ἐκλέγω@viam3s ὁ@dnfs καρδία@nnfsc ἐγώ@rpgcs λόγος@namsc ἀγαθός@anams- τολμάω@vifa3s καί@b ἄν@b εἶπον@vnaa-- ὅτι@cs ὁ@dnms ἐκ@p καρδία@ngfsc ὁ@dgms θεός@ngmsc λόγος@nnmsc ἐκ@p οὐ@b εἰμί@vppagnp γίγνομαι@vira3s ἤ1@cs ὁ@dnms υἱός@nnmsc κτίσμα@nnnsc εἰμί@vipa3s καί@cs οὐ@b ἴδιος@annns- ὁ@dgms λέγω3@vppagns γέννημα@nnnsc πάλιν@b δέ@b τις@rpnms ἀκούω@vppanms οὗτος@rpgms ὅς@rpams πιστεύω@viaa3s κύριος@namsc εἰμί@vnpa-- καί@cs σωτήρ@namsc λέγω3@vppagms ἐγώ@rpnms ἐν@p ὁ@ddms πατήρ@ndmsc καί@cs ὁ@dnms πατήρ@nnmsc ἐν@p ἐγώ@rpdms καί@cs ἐγώ@rpnms καί@cs ὁ@dnms πατήρ@nnmsc εἷς@ εἰμί@vipa1p ἐπιχειρέω@vifa3s διαιρέω@vnpa-- ὅς@rpanp ἐκεῖνος@rpnms ἥνω@viaa3s καί@cs ἀμέριστος@ananp- τηρέω@vira3s"
"sent.Dionys._3.1","οὗτος@rpanp γοῦν@b καί@b αὐτός@rpnmp συνοράω@vppanmp καί@cs παρρησία@nafsc οὐ@b ἔχω@vppanmp ἐν@p ὁ@ddnp ἴδιος@andnp- καταψεύδομαι@vipe3p ὁ@dgmp εὐσεβής@angmp- ἀλλά@b δεῖ@viia3s πᾶς@angmp- αὐτός@rpamp ἐρῆμος@anamp- εἰμί@vppaamp καί@cs συνοράω@vppaamp ἑαυτοῦ@rpamp ἐν@p ὁ@ddfp ἐρώτησις@ndfpc πανταχόθεν@b ἀπορέω@vppaamp καί@cs χασμάομαι@vppeamp μεταγιγνώσκω@vnpa-- μᾶλλον@b ἀποστρέφω@vpapamp ἀπό@p ὁ@dgfs ὁδός@ngfsc ὁ@dgfs πλάνη@ngfsc καί@cs μή@b συναριθμέω@vnpa-- ἑαυτοῦ@rpdmp ὅς@rpamp οὐ@b οἶδα@vipa3p ἵνα@cs μή@b καί@b παρά@p αὐτός@rpgmp ἐλέγχω@vppenmp πλείων@anafsc ὁ@dafs αἰσχύνη@nafsc ἀποφέρω@vsae3p"
"sent.Dionys._3.2","ἴσως@b δέ@b ὁ@dgfs τοιοῦτος@angfs- πανουργία@ngfsc οὐ@b ἐθέλω@vifa3p ἀφεστήξω@vnaa-- ποτέ@b καί@b γάρ@b καί@b οὗτος@rpans ὁ@dgmp περί@p καιάφη@nafsp ζηλόω@viaa3p ὥσπερ@cs καί@b ὁ@dans ἀρνέομαι@vnpe-- ὁ@dams χριστός@namsp παρά@p αὐτός@rpgmp μανθάνω@vira3p καί@b γάρ@b καί@b ἐκεῖνος@rpnmp τοσοῦτος@ananp- ὁ@dgms κύριος@ngmsc ποιέω@vpragms ἔργον@nanpc διά@p ’@p ὅς@rpgnp γιγνώσκω@viia3s ἑαυτοῦ@rpams εἰμί@vnpa-- ὁ@dams χριστός@namsp ὁ@dams υἱός@namsc ὁ@dgms θεός@ngmsc ὁ@dgms ζάω@vppagms ἐλέγχω@vppenmp τε@b παρά@p αὐτός@rpgms πᾶς@ananp- παρά@p ὁ@dafp γραφή@nafpc λοιπός@anans- καί@b φρονέω@vppanmp καί@b λέγω3@vppanmp καί@cs μή@b δύναμαι@vppenmp καί@b ἄν@b πρός@p ὁ@dans βραχύς@anans- πρός@p ὁ@damp κατά@p αὐτός@rpgmp ἔλεγχος2@nampc ἀντιβλέπω@vnpa-- εἰς@p ὁ@dams πατριάρχης@namsc καταφεύγω@viaa3p λέγω3@vppanmp ἐγώ@rpncp πατήρ@namsc ἔχω@vipa1p ὁ@dams ἀβραάμ@namsp καί@cs νομίζω@vppanmp ἐν@p οὗτος@rpdms δύναμαι@vnpe-- ὁ@dafs ἀλογία@nafsc"
"sent.Dionys._3.3","αὐτός@rpgmp ἐπικαλύπτω@vnpa-- ἀλλά@b οὐ@b τε@b ἐκεῖνος@rpnmp οὗτος@rpans λέγω3@vppanmp ὀνίνημι@viaa3p τις@rpans οὐ@b τε@cs οὗτος@rpnmp διονύσιος@nansp ὀνομάζω@vppanmp φεύγω@vnaa-- ὁ@dafs ὅμοιος@anafs- ἐκεῖνος@rpdmp αἰτία@nafsc δύναμαι@vifm3p καί@b γάρ@b καί@b ἐκεῖνος@rpamp ἐπί@p ’@p ὅς@rpdmp παρανομέω@viia1s ἐλέγχω@viaa3s ὁ@dnms κύριος@nnmsc λέγω3@vppanms οὗτος@rpans ἁβραὰμ@nnmsp οὐ@b ποιέω@viaa3s καί@cs οὗτος@rpamp ἀσεβέω@vppaamp καί@cs ψεύδω@vppeamp ὁ@dnfs αὐτός@annfs- πάλιν@b ἀλήθεια@nnfsc διαλέγω@vifa3s ὅτι@cs ὁ@danp ἄρειος@ngmsp διονύσιος@nnmsp ὁ@dnms ἐπίσκοπος@nnmsc οὔτε@b ’@b φρονέω@viaa3s οὐ@b τε@cs ὁ@dafs ἀλήθεια@nafsc ἀγνοέω@viaa3s ἀλλά@b καί@b ὁ@dnmp τότε@b ἰουδαῖος@nnmpp καί@cs ὁ@dnmp νέος@annmp- νῦν@b παρά@p ὁ@dgms πατήρ@ngmsc ἑαυτοῦ@rpgmp ὁ@dgms διάβολος@ngmsc ὁ@dafs χριστομάχος@anafs- λαγχάνω@viam3p μανία@nafsc"
