"location","text"
"Brev.hist.rom._1_1.1","ὁ@dgfs ῥωμαῖος@angfs- βασίλεια@ngfsc ἐν@p προοίμιον@ndnpc οὐδείς@rpnns γίγνομαι@viam3s μείων@annnsc τε@b καί@cs ταπεινός@annnsc ὁ@ddfs δέ@b κατά@p μικρός@anans- αὐξάνω@ndfsc καί@cs ὁ@ddfp ἀεί@b προσθήκη@ndfpc κατά@p ὁ@dafs οἰκέω@nafsc ἅπας@anafs- οὐδείς@rpans οὐ@b τε@b μέγας@anansc οὐ@b τε@cs δυνατός@anansc ὁ@dnfs μνήμη@nnfsc ὁ@dgmp ἄνθρωπος@ngmpc φέρω@vipa3s οὗτος@rpgfs ὁ@dafs πρῶτος@anafs- κρηπίς@nafsc καταβάλλω@viam3s ῥωμύλος@nnmsp ὅς@rpnms ἐκ@p ῥέα@ngfsp σιλβία@angfs- οὕτως@b καλέω@vpfmgfs ἑστιακός@angfs- παρθένος@ngfsc ὁ@ddms ἄρης@ndmsp συνέρχομαι@vpaagfs ὡς@cs ὁ@dnms πολύς@annms- κατέχω@viia3s λόγος@nnmsc ἐκ@p δίδυμος@angfs- γονή@ngfsc σύν@p ἀδελφός@ndmsc ῥέμος@ndmsp προέρχομαι@viaa3s εἰς@p φάος@nansc οὗτος@rpnms ὀκτωκαίδεκα@ γίγνομαι@vpranms ἔτος@nanpc βίος@namsc τε@cs ἔχω@vppanms ὁ@ddmp ποιμήν@ndmpc συλλῃστεύω@vnpa-- ἐλάχιστος@anans- τις@rpans πολίχνιον@anans- ἐπί@p ὁ@dgns ὅρος@ngnsc ὁ@dgns παλλάντιος@angms- καθίστημι@viam3s πρῶτος@andfs- ὁ@dgms μάιος@ngmsp μείς@ngmsc ἔτος@ndnsc τρίτος@andns- ὁ@dgfs ἕκτος@angfs- ὁ@rpdfs λυμπιάς@annfs- ὁ@dgfs δέ@b ἴλιον@ngnsp καταστροφή@ngfsc κατά@p ὁ@damp ὁ@dans πλεῖστος@anans- τε@b καί@cs ἐλαχύς@anans- παραδίδωμι@vpraamp ἔτος@ndnsc τέταρτος@andns- καί@b ἐννεακαιδέκατος@andns- καί@cs τριακοσιοστός@andns-"
"Brev.hist.rom._1_1.2","οἰκίζω@vpaanms δέ@b ὁ@dafs πόλις@nafsc καί@cs καλέω@vpaanms αὐτός@rpafs ἐκ@p ἑαυτοῦ@rpgns ῥώμη@nafsp πρῶτος@anans- μέν@b πολύς@anans- πλῆθος@nansc ἐκ@p ὁ@dgmp περίοικος@angmp- εἰσδέχομαι@viam3s ἔπειτα@b δέ@cs ὁ@damp προβαίνω@vpraamp εἰς@p ἡλικία@nafsc ἐκλέγω@vpamnms οὗτος@rpamp ἐφίστημι@viaa3s ὁ@ddmp λοιπός@andmp- ἡγεμών@nampc ὁ@dgmp πρακτέος@ngmpc σενάτωρ@nampc αὐτός@rpamp καλέω@vpaanms κατά@p ὁ@dafs ἰταλός@ngmpp φωνή@nafsc ἐπεί@cs σέννα@rpgfs ἐκεῖνος@rpnmp καλέω@vipa3p ὁ@damp γέρων@nampc σύγκλητος@nansc δέ@b ἕλλην@nnmpp καλέω@viaa3p ὁ@dans συνέδριον@nansc ἐκ@p ὁ@dgns πρότερος@anans- μέν@b ὁ@damp βασιλεύω@vppaamp μετά@p δέ@cs οὗτος@rpanp ὁ@damp ὕπατος@nampc συγκαλέω@vnpa-- τε@b αὐτός@rpamp ἐπί@p ὁ@dafp βουλή@nafpc καί@cs ὁ@dgfp ψῆφος@ngfpc ποιέω@vnpe-- κύριος@anamp- ἀλλά@b ἐπεί@cs ὁ@dnns πλῆθος@nnnsc αὐξάνω@vpapnns ἤδη@b σύνοικος@angfp- στερέω@vile3s γυνή@ngfpc καί@b φόβος@nnmsc ὁ@vspa1s ἐν@ ἐπιλείπω@vnaa-- ὁ@damp ἀνήρ@nampc τέχνη@ndfsc δίδωμι@vira3s διαδοχή@nafsc ὁ@ddns γένος@ndnsc παρακαλέω@vpaanms γάρ@b ὡς@cs ἐπί@p τις@anafs- θέα@nafsc ὁ@danp γειτονιάω@vppaanp ὁ@dgnp ἔθνος@ngnpc ἁρπαγή@nafsc γίγνομαι@vnam-- παρασκευάζω@viaa3s ὁ@dgfp παρθένος@ngfpc ὅς@rpafp ὁ@dnmp προκαλέω@vpapnmp ἐπί@p ὁ@dafs τέρψις@nafsc ἐπάγω@viam3p καί@b ὁ@dafp μέν@b ἔχω@viaa3p γαμητής@nafpc ἁρπάζω@vpaanmp πόλεμος@namsc δέ@b ὁ@dnns ἔργον@nnnsc κινέω@viaa3s ὅς@rpgms συνίστημι@vpaagms ἡσσάομαι@vipe3p καινιναῖος@nnmpp καί@b ἀντεμνάται@nnmpp κρουστουμίνος@nnmpp σαβῖνος@nnmpp φιδηνάτης@nnmpp βέειος@nnmpp συνοικία@nnfpc δέ@b εἰμί@viia3p οὗτος@annfp- καί@b κατά@p οἰκεῖος@anafs- ἀρχή@nafsc ἕκαστος@annfs- καί@b μετά@p οὗτος@rpanp πολίω@viap3p καί@b οὗτος@andfp- ἔτι@b καί@b νῦν@b ὁ@dnfs ῥώμη@nnfsp ὁ@ddfp πόλις@ndfpc περιστεφανόω@vipe3s οὗτος@rpgnp οὕτως@b πράσσω@vpapgnp χειμών@nnmsc ἐξαίφνης@b ἐπέρχομαι@vpaanms ἀφανής@anamd- ὁ@dams ῥωμύλος@namsp ποιέω@viaa3s ἐκ@p ἐκεῖνος@angns- δέ@x εἰς@p ὅδε@rpans πιστεύω@vire3s πρός@p θεός@nampc ἀναλαμβάνω@vnre-- καθιερόω@viap3s οὖν@rpnms παρά@p ὁ@dgmp ἄρχω@vppegmp ἔτος@nanpc βασιλεύω@vpaanms αὐτός@rpgmp ἑπτὰ@an---- καί@cs τριάκοντα@an---- καί@b τέως@b μέν@b ὁ@dafs πόλις@nafsc διεῖπον@viaa3p καί@cs ὁ@dafs βασιλεία@nafsc ἐπίτροπεύω@viia3p ὁ@dnmp καλέω@vppenmp σενάτωρ@nnmpc ἐπί@p ἐνιαυτός@namsc ὅλος@anams- ἐκ@p ἀμοιβή@ngfsc διά@p ἡμέρα@ngfpc πέντε@an---- ὁ@dgfs ἐπιτροπεία@ngfsc ἀπό@p ἄλλος@rpgmp εἰς@p ἄλλος@rpamp μεθίστημι@vppegfs"
"Brev.hist.rom._1_1.3","μετά@p δέ@b ὁ@dams ἐνιαυτός@namsc νουμᾶς@nnmsp πομπίλιος@nnmsp ἀνακαλέω@viap3s βασιλεύς@nnmsc οὗτος@rpnms πόλεμος@ngmsc μέν@b ἀπέχω@viie3s πᾶς@angms- ὁ@ddfs ῥώμη@ndfsp δέ@cs οὐ@b ἥσσων@anansc ἤ1@cs ῥωμύλος@nnmsp γίγνομαι@viam3s χρήσιμος@annms- νόμος@nampc τε@b γάρ@b αὐτός@rpdmp τίθημι@viaa3s ἔθος@nanpc τε@cs παραδίδωμι@viaa3s ἀπό@p ὅς@rpgmp λῃστής@nnmpc τις@annmp- πρότερος@anans- ὑπολαμβάνω@vprenmp καί@cs μιξοβάρβαρος@annmp- ἀγαθός@angmpc ἀνήρ@ngmpc δόξα@nafsc κτάομαι@viam3p ἱερόν@nanpc δέ@x αὐτός@rpdmp τελέω@viaa3s ναός@nampc τε@cs κατασκευάζω@viaa3s οὕτως@b δέ@b διατίθημι@vpaanms ὁ@dafs πόλις@nafsc τεσσαρακοστός@andns- καί@cs τρίτος@andns- ὁ@dgfs βασίλεια@ngfsc ἔτος@ndnsc νοσέω@vpaanms τελευτάω@viaa3s"
"Brev.hist.rom._1_1.4","τρίτος@nnmsp διαδέχομαι@vipe3s ὁ@dafs βασιλεία@nafsc τοῦλλος@nnmsp ὁστίλλιος@nnmsp ὑπό@p οὗτος@rpdns πάλιν@b ὁ@dnfs περί@p ὁ@damp πόλεμος@nampc ἐπανέρχομαι@viaa3s σπουδή@nnfsc νικάω@vipe3p γοῦν@b ἀλβανός@nnmpp μάχη@ndfsc ὁ@dgfs ῥώμη@ngfsp δυοκαίδεκα@an---- διίστημι@vpranmp σημεῖον@ndnpc ʽμίλιον@nanpc καλέω@vipa3p αὐτός@rpanp ῥωμαῖος@nnmpp ὁ@danp χίλιοι@ γάρ@b βῆμα@nanpc οὕτως@b ὀνομάζω@vipa3p τοσοῦτος@andnp- βῆμα@ndnpc συμμετρέω@vppenmp ὁ@dans σημεῖον@nansc εἶτα@cs ἐφεξῆς@b ἡσσάομαι@vipe3p βἕ@n---p ʼιου@annmp- καί@cs ὁ@dnmp ἀπό@p φιδήνη@ngfsp ὁ@dnmp μέν@b ἕξ@an---- χωρίζω@vppenmp σημεῖον@ndnpc ὁ@dnmp δέ@b ὀκτωκαίδεκα@an---- μετά@p οὗτος@anafp- δέ@b ὁ@dafp νίκη@nafpc καί@cs ὁ@dafs πόλις@nafsc αὐξάνω@viaa3s ὁ@dams κέλλω@ndmpp αὐτός@rpdfs προστίθημι@vpaanms λόφος@namsc ἐπί@p οὗτος@andnp- ὁ@ddnp ἔργον@ndnpc τριάκοντα@an---- καί@cs δύο@an---- ὁ@dafs ἀρχή@nafsc κατέχω@vpaanms ἐνιαυτός@nampc κεραυνός@ngmsc πίπτω@vpaagms συγκαταφλέγω@viap3s ὁ@ddfs βασιλικός@andfs- στέγη@ndfsc"
"Brev.hist.rom._1_1.5","τέταρτος@nnmsp παρέρχομαι@viaa3s ἐπί@p ὁ@dafs ἀρχή@nafsc ἄγκος@nnmsp μάρκιος@nnmsp ἔκγονος@annms- ἀπό@p θυγάτηρ@ngfsc ὁ@dgms νουμᾶς@ngmsp πομπίλιος@ngmsp οὗτος@rpnms αἴρω@viam3s πόλεμος@namsc πρός@p λατῖνος@nampp καί@cs ὁ@ddfs πόλις@ndfsc συνάπτω@viaa3s ὁ@dafs ἀβάντινος@namsp λόφος@namsc ἰανίκουλος@namsp τε@cs πολίχνη@nafsc δέμω@viam3s ἐπί@p θάλασσα@ngfsc πρός@p ὁ@ddfp ὁ@dgms θύμβρις@ngfsc ἐκβολή@ndfpc ὅς@rpnfp ὁ@dgfs ῥώμη@ngfsp ἕξ@an---- καί@cs δέκα@an---- διίστημι@vira3p σημεῖον@ndnpc τέταρτος@andns- τε@b καί@cs εἰκοστός@andns- ὁ@dgfs βασίλεια@ngfsc ἔτος@ndnsc νόσος@ndfsc διαφθείρω@viap3s"
"Brev.hist.rom._1_1.6","διαδέχομαι@viam3s δέ@b ὁ@dafs βασιλεία@nafsc ταρκύνιος@nnmsp ὁ@dnms πρίσκος@nnmsp ὀνομάζω@vppenms οὗτος@rpnms ὁ@dans μέν@b ὁ@dgfs σύγκλητος@ngfsc συνέδριον@nansc διπλάσιος@anans- ποιέω@viaa3s ὁ@ddms ὁ@dgnp σῶμα@ngnpc ἀριθμός@ndmsc καί@cs ὁ@ddfs πόλις@ndfsc δέ@cs ὁ@dams ἱππόδρομος@namsc οἰκοδομέω@viaa3s θέατρον@ngnpc τε@b ἐνεργάζομαι@viam3s τέρψις@nafsc ῥωμάνη@nafsp καλέω@vpaanms ὁ@dafs θέα@nafsc ὅστις@rpnfs ἐκ@p ἐκεῖνος@rpgns καί@b εἰς@p ὅδε@rpans τελέω@vipe3s ὁ@dafs αὐτός@anafs- ἔχω@vppanfs προσηγορία@nafsc ἔτι@b δέ@b σαβῖνος@nampp αἱρέω@viaa3s μάχη@ndfsc καί@cs πολύς@angfs- αὐτός@rpamp ἀφαιρέω@vpamnms γῆ@ngfsc προσκυρόω@viaa3s ὁ@ddfs ῥώμη@ndfsp πρῶτος@annms- δέ@b θριαμβεύω@vppanms εἰς@p ὁ@dafs ῥώμη@nafsp εἰσέρχομαι@viaa3s τεῖχος@nanpc τε@b δέμω@viam3s καί@cs ὁ@dafp ὑδρορόη@anafp- ἤγουν@viia3p ἀμάρας@nafpc καί@b ὁ@dgfs ὁ@dgns καπιτώλιον@angms- κατασκευή@ngfsc ἄρχω@viam3s ὀκτώ@b τε@b ἐπί@p ὁ@ddmp τριάκοντα@an---- βασιλεύω@vpaanms ἐνιαυτός@nampc ὑπό@p ὁ@dgmp ἄγκος@ngmsp παῖς@ngmpc ἀναιρέω@viap3s παρά@p ὅς@rpgms ὁ@dafs βασιλεία@nafsc αὐτός@annms- ἀναδέχομαι@viam3s"
"Brev.hist.rom._1_1.7","ἕκτος@annms- ὑποδέχομαι@vipe3s ὁ@dafs ἀρχή@nafsc σερούϊος@nnmsp τούλλιος@nnmsp ἐκ@p ἐπίσημον@angfs- γίγνομαι@vpranms μήτηρ@ngfsc ὅς@rpnfs καί@b αἰχμαλωσία@ngfsc καί@cs δουλεία@ngfsc περιπίπτω@viaa3s τύχη@ndfsc οὗτος@rpnms ὑπάγω@viam3s σαβῖνος@nampp καί@cs τρεῖς@andmp- λόφος@ndmpc αὐξάνω@viaa3s ὁ@dafs πόλις@nafsc ὁ@ddms κυρινάλιος@ndmsp καί@b ὁ@ddms βιμινάλιος@ndmsp καί@cs ὁ@ddms εἰσκύκλιον@ndmsp τάφρος@nafpc τε@b ὀρύσσω@viaa3s πρό@p ὁ@dgns τεῖχος@ngnsc κύκλος@ndmsc καί@b ὁ@ddfp ἀπογραφή@ndfpc ὁ@dgnp σῶμα@ngnpc δίδωμι@viaa3s ἀρχή@nafsc οὔπω@b παρά@p οὐδείς@rpd-s ὁ@dgnp ἔθνος@ngnpc γιγνώσκω@vppedfp ἀπογράφω@vpapnmp οὖν@b ὁ@dnmp ὁ@dafs ῥώμη@nafsp οἰκέω@vppanmp ὑπό@p αὐτός@rpdms συνάγω@viap3p εἰς@p ἀριθμός@namsc ὀγδοήκοντα@an---- τρεῖς@angfp- χιλιάς@ngfpc μετά@p ὁ@dgmp ἐν@p ὁ@ddmp ἀγρός@ndmpc οἰκέω@vppagmp τελευτή@nafsc μέντοι@b ὁ@dgms βίος@ngmsc δέχομαι@viam3s παρά@p ὁ@dgms γαμβρός@ngmsc ταρκύνιος@ngmsp σουπέρβος@ngmsp δηλόω@vipa3s δέ@b οὗτος@annns- ἐπώνυμος@anans- ὑπερήφανος@anans- παῖς@nnmsc δέ@b εἰμί@viia3s οὗτος@rpnms ταρκύνιος@ngmsp ὁ@dgms πρίσκος@ngmsp παρά@p ὅς@rpgms ὁ@dafs βασιλεία@nafsc ὁ@dnms σφάζω@vpapnms οὗτος@annms- δέχομαι@viam3s"
"Brev.hist.rom._1_1.8","ἐπιλαμβάνω@vipe3s δή@b ὁ@dgfs βασίλεια@ngfsc οὗτος@annms- ὁ@dnms σούπερβος@nnmsp ταρκύνιος@nnmsp ἕβδομος@annms- τε@b ὅς@vppanms ὁ@dgmp βασιλεύς@ngmpc καί@cs ὕστερος@annms- καί@b νικάω@vipa3s μέν@b βολούσκος@nampp ἔθνος@nnnsc εἰμί@vppanms ἐπί@p ὁ@dafs καμπανία@nafsp οὐ@b πρόσω@b ὁ@dgfs ῥώμη@ngfsp αἱρέω@vipa3s δέ@b ἐπί@p οὗτος@rpdnp γαβία@nafsp καί@cs σύεσσα@nafsp ὁ@dafs πομητία@nafsp πόλις@nafpc τίθημι@viam3s τε@b μετά@p τόκος@ngmpp σπονδή@nafpc ναός@namsc τε@b οἰκοδομέω@viaa3s ὁ@ddns καλέω@vppedns καπιτώλιον@ndnsp μετά@p οὗτος@rpanp πολιορκέω@vppanms ὁ@dafs ἄρδην@nafsp πολίχνη@nafsc δέκα@an---- καί@cs ὀκτώ@an---- σημεῖον@ndnpc πρόσω@p ὁ@dgfs ῥώμη@ngfsp ἀπολαμβάνω@viaa3s ὁ@dnms γάρ@b ὁμώνυμος@annms- αὐτός@rpgms παῖς@nnmsc ἐπιφανής@anafs- γυνή@nafsc λουκρητία@nafsp ὅς@rpgfs πολύς@annms- εἰμί@viia3s ἐπί@p σωφροσύνη@ndfsc λόγος@nnmsc ταρκύνιος@ndmsp κολλάτινος@ndmsp συνοικέω@vppaafs βιάζω@viam3s οὗτος@rpans ἐξαγγέλλω@viaa3s ὁ@dnfs λουκρητία@nnfsp ὁ@ddms τε@b ἀνήρ@ndmsc καί@cs ὁ@ddms πατήρ@ndmsc καί@b μηνύω@vpaanfs ὁ@dans πάθος@nansc ἐν@p ὀφθαλμός@ndmpc αὐτός@rpgmp ἑαυτοῦ@rpafs ἀποσφάζω@viam3s ἐνταῦθα@b δέ@b βροῦτος@nnmsp γένος@ndnsc προσήκω@vppanms ὁ@ddms ταρκύνιος@ndmsp ὁ@dams δῆμος@namsc ἀθροίζω@vpaanms ἀφαιρέω@vipe3s ὁ@dgfs βασίλεια@ngfsc ὁ@dams ταρκύνιος@namsp πλείων@anamsc ποιέω@vpamnms ὁ@dgms κοινός@angms- λόγος@namsc ἤ1@cs ὁ@dgns γένος@ngnsc οὗτος@andns- δέ@b καί@cs ὁ@dgms δῆμος@ngmsc ὁ@ddns δόγμα@ndnsc ὁ@dnfs στρατιά@nnfsc συνακολουθέω@viaa3s μετά@p ὅς@rpgfs πολιορκέω@viia3s ὁ@dafs ἄρδην@nafsp τέταρτος@andns- τε@b καί@cs εἰκοστός@andns- ἔτος@ndnsc βασίλεια@ngfsc μετά@p ὁ@dgfs γαμετή@ngfsc καί@b ὁ@dgmp παῖς@ngmpc φυγή@nafsc ἑαυτοῦ@rpgms καταψηφίζομαι@viae3s οὕτως@b ὑπό@p βασιλεύς@ndmpc ἑπτὰ@an---- ὁ@ddnp ὅλος@andnp- ἔτος@ndnpc διακόσιοι@andnp- τεσσαράκοντα@an---- καί@cs τρεῖς@andnp- ὁ@dnnp ὁ@dgfs ῥώμη@ngfsp διοικέω@viap3s πρᾶγμα@nnnpc μικρός@annnp- δέ@b εἰμί@viia3s ἔτι@b ὁ@dnnp ὁ@dgfs δύναμις@ngfsc αὐτός@angfs- ὁ@dgmp ὅριον@ngmpc αὐτός@rpgfs οὐδαμόθεν@b ὑπέρ@p πεντεκαίδεκα@an---- σημεῖον@ngnpc ἐκτίνω@viie3p"
"Brev.hist.rom._1_1.9","ἐντεῦθεν@b ὁ@dnns μετά@p ὁ@dgmp βασιλεύς@ngmpc παύω@viam3s μεταφέρω@viap3s δέ@cs εἰς@p ὁ@dafs ὁ@dgmp ὕπατος@angmp- ἀρχή@nafsc δύο@an---- δέ@b εἰμί@viia3p οὗτος@rpnmp καί@cs ἐτήσιος@nnmpc ὥστε@b καί@b ἄν@b ἕτερος@anams- φαῦλος@anams- ἵημι@vnaa-- καταφεύγω@vnpa-- ἐπί@p ὁ@dams ἕτερος@anams- ὁ@ddms δέ@b χρόνος@ndmsc τελευτάω@vppeafs μέτριος@anafsc εἰμί@vnpa-- ὁ@dafs δυναστεία@nafsc ἀνάγκη@nnfsc γάρ@b εἰμί@viia3s ἄριστος@anamps εἰμί@vnpa-- δημαγωγός@nampc οἶδα@vpraamp ὡς@cs κατά@p ὁ@dams χρόνος@namsc εἰμί@vifm3p ὁ@dgmp ἄρχω@vppegmp γίγνομαι@vipe3p τοίνυν@b ὕπατος@nnmpc ὁ@ddns πρῶτος@andns- ἔτος@ndnsc μετά@p ὁ@damp βασιλεύς@nampc λούκιος@nnmsp ἰούνιος@nnmsp βροῦτος@nnmsp ὁ@dnms ὁ@dgfs ταρκύνιος@ngmsp μάλιστα@b καθαίρεσις@ngfsc αἴτιος@annmss καί@cs ταρκύνιος@nnmsp κολλατῖνος@nnmsp ὁ@dnms ὁ@dgfs λουκρητία@ngfsp ἀνήρ@nnmsc ὅς@rpgfs ὑβρίζω@vpapgfs πράσσω@viap3s ὁ@dnnp περί@p ταρκύνιος@nansp ἀλλά@b ὁ@dnms κολλατῖνος@nnmsp εὐθύς2@b ὁ@dgfs ἐξουσία@ngfsc ἀφαιρέω@viap3s δοκέω@viaa3s γάρ@b μηδείς@rpams ἐπί@p ὁ@dgfs ῥώμη@ngfsp εἰμί@vnpa-- ταρκύνιος@namsp ὀνομάζω@vppeams καί@cs ὁ@dgfs οὐσία@ngfsc προσαφαιρέω@vpapnms ἀπωθέω@viap3s ὁ@dgfs πόλις@ngfsc ἀντικαθίστημι@viia3s δέ@b αὐτός@rpdms λούκιος@nnmsp οὐαλέριος@nnmsp πουβλικόλας@nnmsp"
"Brev.hist.rom._1_1.10","οὗτος@rpgmp οὖν@b ὁ@dafs ὕπατος@anafs- ἔχω@vppagmp ἀρχή@nafsc ὁ@dnms ὁ@dgfs βασίλεια@ngfsc ἀφαιρέω@vpapnms ταρκύνιος@nnmsp ἐπάγω@viam3s ὁ@ddfs ῥώμη@ndfsp πόλεμος@namsc καί@b συναγείρω@vpaanms ἔθνος@nanpc πολύς@ananp- διά@p ὅπλον@ngnpc σπεύδω@viia3s ἐπανέρχομαι@vnaa-- εἰς@p ὁ@dafs βασιλεία@nafsc ὡς@cs δέ@b ὁ@dans πρῶτος@anans- συμμίγνυμι@viaa3p ὁ@dnms μέν@b βροῦτος@nnmsc καί@cs ὁ@dnms ταρκύνιος@ngmsp παῖς@nnmsc ἀλλήλων@rpamp ἀναιρέω@viaa3p ὁ@dnmp δέ@b λοιπός@annmp- ῥωμαῖος@nnmpp οὗτος@andfs- ὁ@ddfs μάχη@ndfsc νικάω@vpaanmp ἀναχωρέω@viaa3p ἐπί@p οἶκος@ngmsc ὁ@dnfp τοίνυν@b γυνή@nnfpc ὡς@cs ὁ@dgfs σεμνότης@ngfsc καί@cs σωφροσύνη@ngfsc ὑπέρμαχος@namsc τε@b καί@cs προστάτης@namsc ἐνιαύσιος@andns- πένθος@ndnsc καθά@cs πατήρ@namsc κοινός@anams- τιμάω@viaa3p πουβλικόλας@nnmsp δέ@b σπούριον@namsp λουκρήτιος@namsp τρικιπιτῖνος@namsp κοινωνός@namsc ἑαυτοῦ@rpdms καί@cs συνύπατος@anams- χειροτονέω@viaa3s ὁ@dams πατήρ@namsc ὁ@dgfs λουκρητία@ngfsp οὗτος@rpgms δέ@b ὑπεξέρχομαι@vpaagms νόσος@ndfsc ὁ@dams βίος@namsc αὖθις@b ὁράτιος@namsp πούλβιλλος@namsp συνάπτω@viaa3s ἑαυτοῦ@rpdms πρός@p ὁ@dafs ὕπατος@anams- ἀρχή@nafsc ὁ@dnms γάρ@b δή@b λείπω@vppenms ἀεί@b κύριος@nnmsc εἰμί@viia3s ὁ@dgfs ὁ@dgms κοινωνός@ngmsc χειροτονία@ngfsc οὕτως@b δή@b συμβαίνω@viaa3s ὁ@dams πρῶτος@anams- ὁ@dgmp ὕπατος@ngmpc ἐνιαυτός@namsc πέντε@an---- ἔχω@vnaa-- ὕπατος@anamp- ταρκύνιος@ngmsp μέν@b κολλατῖνος@ngmsp διά@p ὁ@dafs προσηγορία@nafsc ἀπωθέω@vpapgms βρούτος@ngmsp δέ@b πίπτω@vpaagms ἐν@p ὁ@ddfs μάχη@ndfsc λουκρήτιος@ngmsp δέ@cs ὁ@dafs ἐκ@p ὁ@dgfs ἀρρωστία@ngfsc τελευτή@nafsc ὑπομένω@vpaagms"
