"location","text"
"Qu.Gr._1","τις@rpncp ὁ@dnmp ἐν@p ἐπίδαυρος@ndmsp κονίπους@nnmpc καί@cs ἄρτυνος@nnmpc ὁ@dnmp μέν@b ὁ@dans πολίτευμα@nansc ἔχω@vppanmp ὁγδοήκοντα@an---- καί@cs ἑκατόν@an---- ἀνήρ@nnmpc εἰμί@viia3p ἐκ@p δέ@cs οὗτος@rpgmp αἱρέω@viie3p βουλευτής@nampc ὅς@rpamp ἀρτύνω@nampc καλέω@viia3p ὁ@dgms δέ@b δῆμος@ngmsc ὁ@dans πλεῖστος@anans- ἐν@p ἀγρός@ndmsc διατρίβω@viia3s καλέω@viie3p δέ@b κονίπους@nnmpc ὡς@cs συμβάλλω@vnaa-- εἰμί@vipa3s ἀπό@p ὁ@dgmp πούς@ngmpc γιγνώσκω@vppenmp κονίω@vpregmp ὁπότε@cs κατέρχομαι@voaa3p εἰς@p ὁ@dafs πόλις@nafsc"
"Qu.Gr._2","τις@rpncs ὁ@dnfs παρά@p κυμαῖος@ndmpp ὀνοβάτις@nnfsc ὁ@dgfp γυνή@ngfpc ὁ@dafs ἐπί@p μοιχεία@ndfsc λαμβάνω@vpapafs ἄγω@vpaanmp εἰς@p ἀγορά@nafsc ἐπί@p λίθος@ngmsc τις@angms- ἐμφανής@anams- πᾶς@andmp- καθίστημι@viia3p εἶτα@b οὕτως@b ἀναβιβάζω@viia3p ἐπί@p ὄνος@namsc καί@cs ὁ@dafs πόλις@nafsc κύκλος@ndmsc περιάγω@vpapafs δεῖ@viia3s πάλιν@b ἐπί@p ὁ@dams αὐτός@rpams λίθος@namsc καθίστημι@vnaa-- καί@cs ὁ@dans λοιπός@anans- ἄτιμος@anams- διατελέω@vnpa-- ὀνοβάτις@nafsc προσαγορεύω@vppeafs ὁ@dams δέ@b λίθος@namsc ἀπό@p οὗτος@rpgns οὐ@b καθαρός@anams- νομίζω@vppanmp ἀφοσιόω@viie3p εἰμί@viia3s δέ@b καί@b φυλακτός@ngmsc τις@annfs- ἀρχή@nnfsc παρά@p αὐτός@rpdmp ὁ@dnms δέ@b οὗτος@rpafs ἔχω@vppanms ὁ@dams μέν@b ἄλλος@anams- χρόνος@namsc τηρέω@viia3s ὁ@dans δεσμωτήριον@nansc εἰς@p δέ@cs ὁ@dafs βουλή@nafsc ἐν@p ὁ@ddms νυκτερινός@andms- σύλλογος@ndmsc πάρειμι2@vppanms ἐξάγω@viia3s ὁ@damp βασιλεύς@nampc ὁ@dgfs χείρ@ngfsc καί@cs κατέχω@viia3s μέχρι@p περί@p αὐτός@rpgnp ὁ@dnfs βουλή@nnfsc διαγιγνώσκω@vopa3s πότερον@anans- ἀδικέω@vipa3p ἤ1@cs οὐ@b κρύβδην@b φέρω@vppanfs ὁ@dafs ψῆφος@nafsc"
"Qu.Gr._3","τις@rpncs παρά@p σόλοι@ndmpp ὁ@dnfs ὑπεκκαύθημα@nnfsc ὁ@dafs ὁ@dgfs ἀθήνη@ngfsp ἱέρεια@nafsc οὕτως@b καλέω@vipa3p ὅτι@cs ποιέω@vipe3s τις@anafp- θυσία@nafpc καί@cs ἱερουργία@nafpc ἀποτρόπαιος@anafp-"
"Qu.Gr._4","τις@rpncp ἐν@p κνίδος@ndmsp ὁ@dnmp ἀμνήμων@annmp- καί@cs τις@rpnms ὁ@dnms ἀφίστημι@nnmsc ἑξήκοντα@an---- πρόκριτος@andmp- ἀνήρ@ndmpc ἐκ@p ὁ@dgnp ἄριστος@angmps οἷος@anans- ἐπίσκοπος@andmp- χράομαι@viie3p διά@p βίος@ngmsc καί@cs πρόβουλος@ndmpc ὁ@dgnp μέγας@angnps καλέω@viie3p δέ@b ἀμνήμων@annmp- ὡς@cs ἄν@b τις@rpnms εἰκάζω@voaa3s διά@p ὁ@dans ἀνυπεύθυνος@anans- εἰ@cs μή@b νή@p ζεύς@namsp πολυμνήμων@annmp- τις@rpnmp εἰμί@vppanmp ὁ@dnms δέ@b ὁ@dafp γνώμη@nafpc ἐρωτάω@vppanms ἀφίστημι@nnmsc"
"Qu.Gr._5","τις@rpnmp ὁ@dnmp παρά@p ἀρκάς@ndmpp καί@cs λακεδαιμόνιος@ndmpp χρηστός@annmp- λακεδαιμόνιος@nnmpp τεγεάτης@ndmpp διαλλάσσω@vpapnmp ποιέω@viam3p συνθήκη@nafpc καί@cs στήλη@nafsc ἐπί@p ἀλφειός@ndnsp κοινός@anafs- ἀνίστημι@viaa3p ἐν@p ὅς@rpdfs μετά@p ὁ@dgmp ἄλλος@rpgmp γράφω@vire3s μεσσήνιοι@nampp ἐκβάλλω@vnaa-- ἐκ@p ὁ@dgfs χώρα@ngfsc καί@cs μή@b ἔξεστι@vnpa-- χρηστός@anamp- ποιέω@vnpa-- ἐξηγέομαι@vppenms οὖν@b ὁ@dnms ἀριστοτέλης@nnmpp οὗτος@rpans φημί@vipa3s δύναμαι@vnpe-- ὁ@dans μή@b ἀποκτείνω@vnpa-- βοήθεια@ngfsc χάρις@p ὁ@ddmp λακωνίζω@vpaadmp ὁ@dgmp τεγεάτης@ngmpp"
"Qu.Gr._6","τις@rpncs ὁ@dnms παρά@p ὀπούντιοι@ndmpp κριθολόγος@nnmsc ὁ@dnmp πολύς@annmp- ὁ@dgmp ἕλλην@ngmpp πρός@p ὁ@dafp πάνυ@b παλαιός@anafp- θυσία@nafpc χράομαι@viie3p ὁ@ddfp κριθή@ndfpc ἀπάρχομαι@vppegmp ὁ@dgmp πολίτης@ngmpc ὁ@dams μέν@b οὖν@b ἐπί@p ὁ@dgfp θυσία@ngfpc ἄρχω@vppaams καί@cs οὗτος@anafp- κομίζω@vppeams ὁ@dafp ἀπαρχή@nafpc κριθολόγος@anafs- ὀνομάζω@viia3p δύο@an---- δέ@b εἰμί@viia3p ἱερεύς@nnmpc παρά@p αὐτός@rpdmp ὁ@dnms μέν@b περί@p ὁ@danp θεῖος@nanpc τάσσω@vprenms ὁ@dnms δέ@cs περί@p ὁ@danp δαιμόνιον@nanpc"
"Qu.Gr._7","τις@rpnfp ὁ@dnfp πλωιάς@nnfpc νεφέλη@nnfpc ὁ@dafp ὑπόμβροτος@anafp- μάλιστα@b καί@cs περιφέρω@vppeafp καλέω@viia3p πλωιάς@nafpc ὡς@cs θεόφραστος@nnmsp ἐν@p τέταρτος@andfs- περί@p μεταρσίων@ngnpc ἐρῶ@vira3s κατά@p λέξις@nafsc ἐπεί@cs καί@b ὁ@dnfp πλωιάς@nnfpc οὗτος@annfp- νεφέλη@nnfpc ὁ@dnfp καί@cs ὁ@dnfp συνίστημι@vppanfp ἀκίνητος@annfp- δέ@b καί@cs ὁ@ddnp χρῶμα@ndnpc ἔκλευκος@annfp- δηλόω@vipa3p διαφορά@nafsc τις@anafs- ὁ@dgfs ὕλη@nnfpc ὡς@b οὐ@b τε@b ἐξυδατέομαι@vppegfs οὐ@b τε@cs ἐκπνευματόω@vppegfs"
"Qu.Gr._8","τις@rpncs ὁ@dnms παρά@p βοιωτός@ndmpp πλατικέτης@nnmsc ὁ@damp οἰκία@ndfsc γειτνιάω@vppaamp ἤ1@cs χωρίον@ndnpc ὁμορέω@vppaamp αἰολίζω@vppanmp οὕτως@b καλέω@vipa3p ὡς@cs ὁ@dans πλησίος@anans- ἔχω@vppaamp παρατίθημι@vifm1s δέ@b λέξις@nafsc εἷς@ ἐκ@p ὁ@dgms θεσμοφόριον@angms- νόμος@ngmsc πλείων@angfp- εἰμί@vppagfp"
"Qu.Gr._9","τις@rpnms ὁ@dnms παρά@p δελφοί@ndmpp ὁσιωτήρ@nnmsc καί@cs διά@p τίς@rpans βύσιος@anams- εἷς@namsc ὁ@dgmp μείς@ngmpc καλέω@vipa3p ὁσιωτήρ@namsc μέν@b καλέω@vipa3p ὁ@dans θύω1@vppeans ἱερεῖον@nansc ὅταν@cs ὅσιος@annms- ἀποδείκνυμι@vsap3s πέντε@an---- δέ@b εἰμί@vipa3p ὅσιος@annmp- διά@p βίος@ngmsc καί@cs ὁ@danp πολύς@ananp- μετά@p ὁ@dgmp προφήτης@ngmpc δράω@vipa3p οὗτος@rpnmp καί@cs συνιερουργέω@vipa3p ἅτε@b γίγνομαι@vnra-- δοκέω@vppanmp ἀπό@p δευκαλίων@ngmsp ὁ@dnms δέ@b βύσιος@annms- μήν@b ὡς@cs μέν@b ὁ@dnmp πολύς@annmp- νομίζω@vipa3p φύσις@annms- εἰμί@vipa3s ἔαρ@ngnsc γάρ@b ἄρχω@vipa3s καί@cs ὁ@danp πολύς@ananp- φύω@vipe3s τηνικαῦτα@b καί@cs διαβλαστάνω@vipa3s ὁ@dnns δέ@b ἀληθής@annns- οὐ@b ἔχω@vipa3s οὕτως@b οὐ@b γάρ@b ἀντί@p ὁ@dgns ὁ@ddns χράομαι@vipe3p δελφίς@nnmpp καθά@cs μακεδών@nnmpp βίλιππος@nafsp καί@b βαλακρός@namsc καί@cs βερονίκης@nafsp λέγω3@vppanmp ἀλλά@cs ἀντί@p ὁ@dgns π@ καί@b γάρ@b ὁ@dans πατέω@vnpa-- βατέω@vnaa-- καί@cs ὁ@dans πικρός@anans- βικρός@anans- ἐπιεικής@b καλέω@vipa3p εἰμί@vipa3s οὖν@b πύματος@nnmsc ὁ@dnms βύσιος@nnmsc ἐν@p ὅς@rpdms πυστιάω@vipe3p καί@cs πυνθάνομαι@vipe3p ὁ@dgms θεός@ngmsc οὗτος@rpnns γάρ@b ἔννομος@vppanns καί@cs πάτριος@annns- ἐν@p ὁ@ddms μείς@ndmsc γάρ@b οὗτος@andms- χρηστήριον@nnnsc γίγνομαι@viie3s καί@cs ἕβδομος@anafs- οὗτος@rpafs νομίζω@vipa3p ὁ@dgms θεός@ngmsc γενέθλιος@anafs- καί@cs πολύφθοος@anafs- ὀνομάζω@vipa3p οὐ@b διά@p ὁ@dans πέτομαι@vnpe-- φθόρος@ndmpc ἀλλά@cs πολυπευθής@anafs- καί@cs πολυμάντευτος@anafs- εἰμί@vppaafs ὅτε@cs γάρ@b ἀνίημι@viap3p ὁ@dnfp κατά@p μείς@namsc μαντεία@nnfpc ὁ@ddmp δέω2@vppedmp πρότερος@anans- δέ@b ἅπαξ@b θεμιστεύω@viia3s ὁ@dnfs πυθία@nnfsp ὁ@dgms ἐνιαυτός@ngmsc κατά@p οὗτος@anafs- ὁ@dafs ἡμέρα@nafsc ὡς@cs καλλισθένης@nnmsp καί@cs ἀναξανδρίδης@nnmsp ἱστορέω@vira3p"
"Qu.Gr._10","τίς@rpnns ὁ@dnns φυξίμηλος@nnnsc ὁ@dgnp μικρός@angnp- εἰμί@vipa3s καί@cs χαμαίζηλος@angnp- φυτόν@ngnpc ὅς@rpgnp ἔπειμι1@vppannp ὁ@damp βλαστός@nampc ὁ@dnnp βόσκημα@nnnpc κολούω@vipa3s καί@b ἀδικέω@vipa3s καί@cs λυμαίνομαι@vipe3s ὁ@dafs αὔξησις@nafsc ὅταν@cs οὖν@b ἀνατρέχω@vpaaams μέγεθος@nansc λαμβάνω@vsaa3s καί@cs διαφεύγω@vsaa3s ὁ@dnns βλάπτω@vnpe-- ὑπό@p ὁ@dgmp ἐπινέμω@vppegmp φυξίμηλος@nnfsc καλέω@vipe3s ὁ@dans δέ@b μαρτύριον@nansc αἰσχύλος@nnmsp"
