"location","text"
"Nigr._prologue","λουκιανός@nnmsp νιγρῖνος@ndmsp εὖ@b πράσσω@vnpa-- ὁ@dnfs μέν@b παροιμία@nnfsc φημί@vipa3s γλαύξ@nnfsp εἰς@p ἀθῆναι@nafpp ὡς@cs γέλοιος@annns- εἰμί@vppanns εἰ@cs τις@rpnms ἐκεῖ@b κομίζω@vopa3s γλαύξ@nafpc ὅτι@cs πολύς@annfp- παρά@p αὐτός@rpdmp εἰμί@vipa3p ἐγώ@rpnms δέ@b εἰ@cs μέν@b δύναμις@nafsc λόγος@ngmpc ἐπιδείκνυμι@vnam-- βούλομαι@vppenms ἔπειτα@b νιγρῖνος@ndmsp γράφω@vpaanms βιβλίον@nansc πέμπω@viia1s ἔχω@viie1s ἄν@b ὁ@ddns γέλοιος@andns- γλαύξ@nafpc ὡς@b ἀληθής@b ἐμπορεύομαι@vppenms ἐπεί@cs δέ@b μόνος@anafs- σύ@rpdms δηλόω@vnaa-- ὁ@dafs ἐμός@anafs- γνώμη@nafsc ἐθέλω@vipa1s ὅπως@cs τε@b νῦν@b ἔχω@vipa1s καί@cs ὅτι@cs μή@b πάρεργος@b λαμβάνω@vire1s πρός@p ὁ@dgmp σός@angmp- λόγος@ngmpc ἀποφεύγω@voaa1s ἄν@b εἰκότως@b καί@b ὁ@dans ὁ@dgms θουκυδίδης@ngmsp λέγω3@vppagms ὅτι@cs ὁ@dnfs ἀμαθία@nnfsc μέν@b θράσος@nnnsc ὀκνηρός@anamp- δέ@cs ὁ@dnns λογίζομαι@vprenns ἀπεργάζομαι@vipe3s δῆλος@annns- γάρ@b ὡς@cs οὐ@b ὁ@dnfs ἀμαθία@nnfsc ἐγώ@rpdms μόνος@annfs- ὁ@dgfs τοιοῦτος@angfs- τόλμα@ngfsc ἀλλά@cs καί@b ὁ@dnms πρός@p ὁ@damp λόγος@nampc ἔρως@nnmsc αἴτιος@annms- ῥώννυμι@vmre2s"
"Nigr._1","νιγρῖνος@ngmsp φιλοσοφία@nnfsp ὡς@b σεμνός@annms- ἐγώ@rpdmp σφόδρα@b καί@cs μετέωρος@annfs- ἐπανέρχομαι@vira2s οὐ@b τοίνυν@b προσβλέπω@vnpa-- ἐγώ@rpamp ἔτι@b ἀξιόω@vipa2s οὐ@b τε@cs ὁμιλία@nafpc μεταδίδωμι@vipa2s οὐ@b τε@cs κοινωνέω@vipa2s ὁ@dgmp ὅμοιος@angmp- λόγος@ngmpc ἀλλά@cs ἄφνω@b μεταβάλλω@vire2s καί@cs ὅλος@b ὑπεροπτικός@andns- τις@rpdns ἔοικα@vira2s ἡδέως@b δέ@b ἄν@b παρά@p σύ@rpgcs πυνθάνομαι@voam1s ὅθεν@b οὕτως@b ἄτοπος@b ἔχω@vipa2s καί@cs τίς@rpnns οὗτος@rpgnp αἴτιος@annns- τίς@rpanp γάρ@b ἄλλος@rpnns γε@b ὦ@i ἑταῖρος@nvmsc ἤ1@cs εὐτυχία@nnfsc πῶς@b λέγω@vipa2s ὁδός@ngfsc πάρεργον@nansc ἥκω@vipa1s σύ@rpdcs εὐδαίμων@annms- τε@b καί@cs μακάριος@annms- γίγνομαι@vprenms καί@cs οὗτος@rpans δή@b ὁ@dans ἀπό@p ὁ@dgfs σκηνή@ngfsc ὄνομα@nansc τρισόλβιος@annms- ἡρακλέης@nvmsp οὕτως@b ἐν@p βραχύς@andns- καί@b μάλα@b τίς@rpnns δέ@b ὁ@dnns μετά@p οὗτος@rpans εἰμί@vipa3s ἐπί@p ὅστις@rpdns καί@b κομάω@vspa2s ἵνα@cs μή@cs ἐν@p κεφάλαιος@andns- μόνος@andns- εὐφραίνω@vspe1p ἔχω@vspa1p δέ@x τις@rpans καί@cs ἀκριβής@anans- οἶδα@vnra-- ὁ@dans πᾶς@anans- ἀκούω@vpaanmp οὐ@b θαυμαστός@anans- εἰμί@vnpa-- σύ@rpdcs δοκέω@vipa3s πρός@p ζεύς@ngmsp ἀντί@p μέν@b δοῦλος@ngmsc ἐγώ@rpacs ἐλεύθερος@anams- ἀντί@p δέ@b πένης@ngmsc ὡς@b ἀληθής@b πλούσιος@anams- ἀντί@p δέ@cs ἀνόητος@angms- τε@cs καί@cs τυφόομαι@vpregms γίγνομαι@vnam-- μέτριος@anamsc"
"Nigr._2","μέγας@annnss μέν@b οὖν@b ἀτάρ@x οὔπω@b μανθάνω@vipa1s σαφής@b ὅς@rpans τις@rpans καί@cs λέγω@vipa2s στέλλω@viap1s μέν@b εὐθύς2@b ὁ@dgfs πόλις@ngfsc βούλομαι@vppenms ἰατρός@namsc ὀφθαλμός@ngmpc θεάομαι@vnam-- τις@anams- ὁ@dnns γάρ@b ἐγώ@rpdms πάθος@nnnsc ὁ@dnns ἐν@p ὁ@ddms ὀφθαλμός@ndmsc μᾶλλον@b ἐπιτείνω@viie3s οἶδα@vira1s οὗτος@rpgnp ἕκαστος@ananp- καί@cs εὔχομαι@viam1s σύ@rpacs τις@rpdcs σπουδαῖος@andms- ἐπιτυγχάνω@vnaa-- δόξα@nafsc οὖν@b ἐγώ@rpdcs διά@p πολύς@angns- προσλέγω@vnaa-- νιγρῖνος@namsp ὁ@dams πλατωνικός@anams- φιλόσοφος@namsc ἕωθεν@b ἐξανίστημι@vpaanms ὡς@p αὐτός@rpams ἀφικνέομαι@viam1s καί@cs κόπτω@vpaanms ὁ@dafs θύρα@nafsc ὁ@dgms παῖς@ngmsc εἰσαγγέλλω@vpaagms καλέω@viap1s καί@cs παρέρχομαι@vpaanms εἴσω@b καταλαμβάνω@vipa1s ὁ@dams μέν@b ἐν@p χείρ@ndfpc βιβλίον@nansc ἔχω@vppaams πολύς@anafp- δέ@b εἰκών@nafpc παλαιός@angmp- φιλόσοφος@ngmpc ἐν@p κύκλος@ndmsc κεῖμαι@vpreafp πρ@b κεῖμαι@viie3s δέ@b ἐν@p μέσος@andns- καί@b πινάκιον@nnnsc τις@andnp- ὁ@dgnp ἀπό@p γεωμετρία@ngfsc σχῆμα@ngnpc καταγράφω@vprenns καί@cs σφαῖρα@nnfsc κάλαμος@ngmsc πρός@p ὁ@dans ὁ@dgns πᾶς@angns- μίμημα@nansc ὡς@cs δοκέω@viia3s ποιέω@vprenfs"
"Nigr._3","σφόδρα@b οὖν@b ἐγώ@rpacs φιλόφρων@b ἀσπάζομαι@vpamnms ἐρωτάω@viia3s ὅς@rpans τις@anans- πράσσω@vopa1s καί@b ἐγώ@rpnms πᾶς@ananp- διηγέομαι@viam1s αὐτός@rpdms καί@cs δῆτα@b ἐν@p μέρος@ndnsc καί@b αὐτός@rpnms ἀξιόω@viia1s οἶδα@vnra-- ὅς@rpans τις@anans- τε@b πράσσω@vopa3s καί@cs εἰ@cs αὖθις@b αὐτός@rpdms γιγνώσκω@vprenns εἰμί@vopa3s στέλλω@vnpe-- ὁ@dafs ἐπί@p ὁ@dgfs ἑλλάς@ngfsp ὁ@dnms δέ@b ἀπό@p ἀρχή@ngfsc ἄρχω@vpamnms ὦ@i ἑταῖρος@anvms- περί@p οὗτος@rpgnp λέγω3@vnpa-- καί@cs ὁ@dafs ἑαυτοῦ@rpgms γνώμη@nafsc διηγέομαι@vnpe-- τοσοῦτος@anafs- τις@anafs- ἐγώ@rpgms λόγος@ngmpc ἀμβροσία@nafsc κατασκεδάννυμι@viaa3s ὥστε@cs καί@b ὁ@dafp σειρήν@nafpp ἐκεῖνος@anafp- εἰ@cs τις@rpnfp ἄρα@b γίγνομαι@viam3p καί@b ὁ@dafp ἀηδών@nafpc καί@cs ὁ@dams ὅμηρος@ngmsp λωτός@namsc ἀρχαῖος@anams- ἀποδείκνυμι@vnaa-- οὕτως@b θεσπέσιος@ananp- φθέγγομαι@viam3s"
"Nigr._4","προάγω@viap3s γάρ@b αὐτός@anafs- τε@b φιλοσοφία@nafsc ἐπαινέω@vnaa-- καί@b ὁ@dafs ἀπό@p οὗτος@rpgfs ἐλευθερία@nafsc καί@cs ὁ@dgnp δημοσίᾳ@b νομίζω@vppegnp ἀγαθός@angnp- καταγελάω@vnaa-- πλοῦτος@ngmsc καί@b δόξα@ngfsc καί@b βασίλεια@ngfsc καί@cs τιμή@ngfsc ἔτι@b τε@cs χρυσός@ngmsc καί@cs πορφύρα@ngfsc ὁ@dgnp πάνυ@b περίβλεπτος@vppagnp ὁ@ddmp πολύς@andmp- τέως@b δέ@b καί@b ἐγώ@rpdms δοκέω@vppagmp ὅσπερ@rpanp ἐγώ@rpncs ἀτενής@vifm2s καί@cs ἀναπετάννυμι@vpredfs ὁ@ddfs ψυχή@ndfsc δέχομαι@vpamnms αὐτίκα@b μέν@b οὐ@b δέ@cs ἔχω@viia1s εἰκάζω@vnaa-- ὅσπερ@rpans πάσχω@vila1s ἀλλά@cs παντοῖος@annms- γίγνομαι@viie1s καί@cs ἄρτι@b μέν@b λυπέω@viie1s ἐλέγχω@vpregnp ἐγώ@rpdcs ὁ@dgnp φίλτατος@angnps πλοῦτος@ngmsc τε@cs καί@cs ἀργύριον@ngnsc καί@cs δόξα@ngfsc καί@cs μόνος@b οὐ@b δακρύω@viia3p ἐπί@p αὐτός@rpdnp καθαιρέω@vprednp ἄρτι@b δέ@b αὐτός@rpnnp μέν@b δοκέω@viia3s ἐγώ@rpdcs ταπεινός@annnp- καί@cs καταγέλαστος@annnp- χαίρω@viia3p δέ@x αὖ@b ὥσπερ@b ἐκ@p ζοφερός@angms- τις@rpgms ἀήρ@ngmsc ὁ@dgms βίος@ngmsc ὁ@dgms πρόσθεν@b εἰς@p αἰθρία@nafsc τε@x καί@cs μέγας@anans- φάος@nansc ἀναβλέπω@vppanms ὥστε@b δή@b ὁ@dans καινός@ananss ὁ@dgms ὀφθαλμός@ngmsc μέν@b καί@cs ὁ@dgfs περί@p αὐτός@rpams ἀσθένεια@ngfsc ἐπιλανθάνω@viie1s ὁ@dafs δέ@b ψυχή@nafsc ὀξυωπής@annmsc κατά@p μικρός@anans- γίγνομαι@viie1s λανθάνω@vila1s γάρ@b τέως@b αὐτός@rpafs τυφλώττω@vppaafs περιφέρω@vppanms"
"Nigr._5","προέρχομαι@vppanms δέ@b εἰς@p ὅδε@rpans περιάγω@viap1s ὅσπερ@rpans ἄρτιος@b ἐγώ@rpdmp ἐπικαλέω@viia2s γαῦρος@annms- τε@b γάρ@b ὑπό@p ὁ@dgms λόγος@ngmsc καί@cs μετέωρος@annms- εἰμί@vipa1s καί@cs ὅλος@b μικρός@anans- οὐκέτι@b οὐδείς@rpans ἐπινοέω@vipa1s δοκέω@vipa1s γάρ@b ἐγώ@rpdcs ὅμοιος@anans- τις@rpans πάσχω@vnra-- πρός@p φιλοσοφία@nafsc οἷονπερ@rpans καί@b ὁ@dnmp ἰνδός@nnmpp πρός@p ὁ@dams οἶνος@namsc λέγω3@vipe3p πάσχω@vnaa-- ὅτε@cs πρῶτος@anans- πίνω@viaa3p αὐτός@rpgms θερμός@annmpc γάρ@b εἰμί@vppanmp φύσις@ndfsc πίνω@vpaanmp ἰσχυρός@anans- οὕτως@b ποτός@anams- αὐτίκα@b μάλα@b ἐκβακχεύω@viap3p καί@cs διπλάσιος@b ὑπό@p ὁ@dgms ἄκρατος@angms- ἐκμανέω@viaa3p οὕτως@b σύ@rpdms καί@b αὐτός@rpnms ἔνθεος@annms- καί@cs μεθύω@vppanms ὑπό@p ὁ@dgmp λόγος@ngmpc περιέρχομαι@vipe1s"
"Nigr._6","καί@cs μήν@b οὗτος@rpnns γε@b οὐ@b μεθύω@vnpa-- ἀλλά@cs νήφω@vnpa-- τε@cs καί@cs σωφρονέω@vnpa-- εἰμί@vipa3s ἐγώ@rpnms δέ@b βούλομαι@vope1s ἄν@b εἰ@cs οἷος@annns- τε@b αὐτός@angmp- ἀκούω@vnaa-- ὁ@dgmp λόγος@ngmpc οὐ@b δέ@b γάρ@b οὐ@b δέ@b φθονέω@vnpa-- αὐτός@rpgmp οἴομαι@vipe1s θέμις@nnfsc ἄλλως@b τε@b εἰ@cs καί@b φίλος@nnmsc καί@cs περί@p ὁ@danp ὅμοιος@ananp- σπουδάζω@vpranms ὁ@dnms βούλομαι@vppenms ἀκούω@vnpa-- εἰμί@vopa3s θαρσέω@vmpa2s ἀγαθός@anvms- οὗτος@rpans γάρ@b σύ@b ὁ@dans ὁ@dgms ὅμηρος@ngmsp σπεύδω@vppaams καί@b αὐτός@rpams παρακαλέω@vipa2s καί@cs εἰ@cs γε@b μή@b φθάνω@viap2s αὐτός@rpnms ἄν@b δέω2@viap1s ἀκούω@vnaa-- ἐγώ@rpgms διηγέομαι@vppegms μάρτυς@namsc γάρ@b σύ@rpacs παρίστημι@vnam-- πρός@p ὁ@damp πολύς@anamp- ἐθέλω@vipa1s ὅτι@cs οὐ@b ἄλογος@b μαίνομαι@vipe1s ἄλλως@b τε@b καί@cs ἡδύς@annns- ἐγώ@rpdcs ὁ@dnns μιμνήσκω@vnre-- αὐτός@rpgnp πολλάκις@b καί@cs οὗτος@rpafs ἤδη@b μελέτη@nafsc ποιέω@viam1s ἐπεί@cs καί@b ἄν@cs τις@rpncs μή@b πάρειμι@vppanms τύχη@vsaa3s καί@b οὕτως@b δίς@b ἤ1@cs τρίς@b ὁ@dgfs ἡμέρα@ngfsc ἀνακυκλέω@vipa1s πρός@p ἐμαυτοῦ@rpams ὁ@danp ἐρῶ@vpreanp"
"Nigr._7","καί@b ὥσπερ@cs ὁ@dnmp ἐραστής@nnmpc ὁ@dgnp παιδικός@angmp- οὐ@b πάρειμι1@vppagmp ἔργον@nanpc ἄττα@ananp- καί@cs λόγος@nampc ἐρῶ@vpreamp αὐτός@rpdmp διαμνημονεύω@vipa3p καί@cs οὗτος@rpdnp ἐνδιατρίβοντω@vppanmp ἐξαπατάω@vipa3p ὁ@dafs νόσος@nafsc ὡς@b πάρειμι1@vppagmp σφεῖς@rpdmp ὁ@dgmp ἀγαπάω@vppegmp ἔνιοι@annmp- γοῦν@b αὐτός@rpdmp καί@b προσλαλέω@vnpa-- οἴομαι@vipe3p καί@cs ὡς@cs ἄρτι@b λέγω3@vppegmp πρός@p αὐτός@rpamp ὅς@rpgnp τότε@b ἀκούω@viaa3p ἥδομαι@vipe3p καί@cs προσάπτω@vpaanmp ὁ@dafs ψυχή@nafsc ὁ@ddfs μνήμη@ndfsc ὁ@dgmp παρέρχομαι@vpragnp σχολή@nafsc οὐ@b ἄγω@vipa3p ὁ@ddmp ἐν@p πούς@ndmpc ἀνιάω@vnpe-- οὕτως@b δή@b καί@b αὐτός@rpnms φιλοσοφία@ngfsc οὐ@b πάρειμι@vppagfs ὁ@damp λόγος@nampc ὅς@rpamp τότε@b ἀκούω@viaa1s συναγείρω@vppanms καί@cs πρός@p ἐμαυτοῦ@rpams ἀνατυλίζω@vppanms οὐ@b μικρός@anafs- ἔχω@vipa1s παραμυθία@nafsc καί@cs ὅλος@b καθά@b ἐν@p πέλαγος@ndnsc καί@cs νύξ@ndfsc πολύς@andfs- φέρω@vppenms εἰς@p πυρσός@namsc τις@ana-s- οὗτος@rpams ἀποβλέπω@vipa1s πᾶς@andmp- μέν@b πάρειμι@vnpa-- ὁ@ddnp ὑπό@p ἐγώ@rpgms πράσσω@vppednp ὁ@dams ἀνήρ@namsc ἐκεῖνος@anams- οἴομαι@vppenms ἀεί@b δέ@b ὥσπερ@b ἀκούω@vppanms αὐτός@rpgms ὁ@danp αὐτός@rpanp πρός@p ἐγώ@rpams λέγω3@vppagms ἐνίοτε@b δέ@b καί@b μάλιστα@b ὅταν@cs ἐνερείδω@vsaa1s ὁ@dafs ψυχή@nafsc καί@b ὁ@dnns πρόσωπον@nnnsc αὐτός@rpgns ἐγώ@rpdcs φαίνω@vipe3s καί@cs ὁ@dgfs φωνή@ngfsc ὁ@dnms ἦχος@nnmsc ἐν@p ὁ@ddfp ἀκοή@ndfpc παραμένω@vipe3s καί@b γάρ@b σύ@b κατά@p ὁ@dams κωμικός@anams- ὡς@b ἀληθής@b ἐγκαταλείπω@vira3s τις@anans- κέντρον@nansc ὁ@ddmp ἀκούω@vppadmp"
"Nigr._8","παύω@vmpa2s ὦ@i θαυμάσιος@anvms- μακρός@anans- ἀνακρούω@vppenms καί@cs λέγω3@vmpa2s ἐκ@p ἀρχή@ngfsc ἀναλαμβάνω@vpaanms ἤδη@b ὁ@danp ἐρῶ@vpreanp ὡς@cs οὐ@b μέτριος@b ἐγώ@rpacs ἀποκναίω@vipa2s περιάγω@vppanms εὖ@b λέγω@vipa2s καί@cs οὕτως@b χρή@vipa3s ποιέω@vnpa-- ἀλλά@b ἐκεῖνος@rpans ὦ@i ἑταῖρος@nvmsc ἤδη@b τραγικός@anamp- ἤ1@cs καί@b νή@p ζεύς@namsp κωμικός@anamp- φαῦλος@anamp- ὁράω@vira2s ὑποκριτής@nampc ὁ@dgmp συλέω@vppegmp λέγω3@vipa1s οὗτος@rpgmp καί@cs διαφθείρω@vppagmp ὁ@danp ποίημα@nanpc καί@cs ὁ@dans τελευταῖος@anans- ἐκβάλλω@vppegmp καίτοι@b ὁ@dgnp δρᾶμα@ngnpc πολλάκις@b εὖ@b ἔχω@vppagnp τε@cs καί@cs νικάω@vpragmp πολύς@anamp- οἶδα@vira1s τοιοῦτος@rpamp ἀλλά@b τίς@rpnns οὗτος@rpnns δείδω@vira1s μή@cs σύ@rpdcs μεταξύ@b δοκέω@vsaa1s γέλοιος@b αὐτός@rpanp μιμέομαι@vnpe-- ὁ@danp μέν@b ἄτακτος@b συνείρω@vppanms ἐνίοτε@b δέ@b καί@b αὐτός@rpams ὑπό@p ἀσθένεια@ngfsc ὁ@dams νόος@namsc διαφθείρω@vppanms καί@b εἶτα@rpanp προάγω@vsap2s ἠρέμα@b καί@b αὐτός@rpgms καταγιγνώσκω@vnaa-- ὁ@dgns δρᾶμα@ngnsc καί@b ὁ@dans μέν@b ἐμός@anans- οὐ@b πάνυ@b ἄχθομαι@vipe1s ὁ@dnfs δέ@b ὑπόθεσις@nnfsc οὐ@b μέτριος@b ἐγώ@rpacs λυπέω@vnfa-- ἔοικα@vira3s συνεκπίπτω@vppanfs καί@cs ὁ@dans ἐμός@anans- μέρος@nansc ἀσχημονέω@vppanfs"
"Nigr._9","οὗτος@rpans οὖν@b παρά@p ὅλος@anams- μιμνήσκω@vmre2s ἐγώ@rpdms ὁ@dams λόγος@namsc ὡς@cs ὁ@dnms μέν@b ποιητής@nnmsc ἐγώ@rpdmp ὁ@dgnp τοιοῦτος@angnp- ἁμάρτημα@ngnpc ἀνεύθυνος@annms- καί@cs ὁ@dgfs σκηνή@ngfsc πρόσω@b ποι@b κάθημαι@vspe3s οὐδείς@rpans αὐτός@rpdms μέλω@anans- ὁ@dgnp ἐν@p θέατρον@ndnsc πρᾶγμα@ngnpc ἐγώ@rpnms δέ@b ἐμαυτοῦ@rpgms σύ@rpdms πεῖρα@nafsc παρέχω@vipa1s ὁποῖος@annms- τις@rpncs εἰμί@vipa1s ὁ@dafs μνήμη@nafsc ὑποκριτής@nnmsc οὐδείς@rpans ἄγγελος@ngmsc ὁ@danp ἄλλος@rpanp τραγικός@angns- διαφέρω@vppanms ὥστε@b καί@b ἄν@cs ἐνδεής@anansc τις@rpans δοκέω@vipa1s λέγω3@vnpa-- ἐκεῖνος@rpnns μέν@b εἰμί@vmpa3s πρόχειρον@annns- ὡς@cs ἀμείνων@annnsc εἰμί@viia3s καί@cs ἄλλως@b ὁ@dnms ποιητής@nnmsc ἴσως@b διέξειμι@viia3s ἐγώ@rpacs δέ@b καί@b ἄν@cs ἐκσυρίττω@vsaa2s οὐ@b πάνυ@b τις@rpans λυπέω@vifm1s"
