"location","text"
"odor._1.1","ι.@ ὁ@dnmp ὀσμή@nnmpc ὁ@dans μέν@b ὅλος@anans- ἐκ@p μίξις@ngfsc εἰμί@vipa3p καθά@cs ὁ@dnmp χυμός@nnmpc ὁ@dnns γάρ@b ἄμικτος@annns- ἅπας@annns- ἄοδμος@nnnsc ὥσπερ@cs ἄχυμος@annns- διό@b καί@cs ὁ@dnnp ἀπλᾶ@annnp- ἄοδμος@nnnsc οἷος@rpans ὕδωρ@nnnsc ἀήρ@nnmsc πῦρ@nnnsc ὁ@dnfs δέ@b γῆ@nnfsc μάλιστα@b ἤ1@cs μόνος@annfs- ὀσμή@nafsc ἔχω@vipa3s διό@b μάλιστα@b μικτός@annfs- ὁ@dgfp δέ@b ὀσμή@ngfpc ὁ@dnfp μέν@b ὥσπερ@cs ἀειδής@anafp- καί@cs ὑδαρής@annfp- καθά@cs ἐπί@p ὁ@dgmp χυμός@ngmpc ὁ@dnfp δέ@b ἔχω@vppanfp τις@rpacp ἰδέα@nafpc ὁ@dnfp δέ@b ἰδέα@nnfpc δοκέω@vipa3p μέν@b ἀκολουθέω@vnpa-- ὁ@ddfp ὁ@dgmp χυμός@ngmpc οὐ@b μήν@b ἔχω@vipa3p γε@b πᾶς@annfp- ὁ@dafp αὐτός@anafp- προσηγορία@nafpc ὥσπερ@cs ἐν@p ὁ@ddnp πρότερος@b εἶπον@viaa1p οὐδέ@b ὅλος@b οὕτως@b διάὁρίζω@vprenfp ὁ@ddnp εἶδος@ndnpc ὥσπερ@cs ὁ@dnmp χυμός@nnmpc ἀλλά@cs ὡς@cs ἄν@b ὁ@ddnp γένεσις@ndnpc ὅτι@cs ὁ@dnnp μέν@b ἄοσμος@nnnsc ὁ@dnnp δέ@cs κάκοσμα@nnnsc"
"odor._1.2","ὁ@dgfs δέ@b εὐωδία@ngfsc καί@cs κακωδία@ngfsc οὐκέτι@b ὁ@dnnp εἶδος@nnnpc κατονομάζω@vire3p καίπερ@b ἔχω@vppannp διαφορά@nafpc μέγας@anafp- ἐπί@p γε@b αὐτός@angnp- ὁ@dgnp γλυκύς@angnp- καί@cs πικρός@angnp- ἀλλά@cs δριμύς@annfs- λέγω3@vipe3s καί@b ἰσχυρός@annfs- καί@b μαλακός@annfs- καί@cs γλυκύς@annfs- καί@cs βαρύς@annfs- ὀσμή@nnfsc κοινός@annfp- δέ@b ἔνιοι@annfp- οὗτος@rpgnp καί@cs ὁ@dgfp κακός@angfp- ὁ@rpnfs δέ@b καθόλου@b καί@b ὥσπερ@cs ἐπί@p πᾶς@andnp- ὁ@ddnp διαφθείρω@vppednp σαπρότης@annfs- ἅπας@annns- γάρ@b ὁ@dnns σήπω@vppenns κακώδης@annns- εἰ@cs μή@b τις@rpncs ὁ@dafs ὀξύτης@nafsc λέγω3@vipa3s ὁ@dgms οἶνος@ngmsc σαπρότης@anafs- ὁ@ddfs ὁμοιότης@ndfsc ὁ@dgfs φθορά@ngfsc"
"odor._1.3","ἐν@p ἅπας@andnp- δέ@b εἰμί@vipa3s ὁ@dnfs ὁ@dgns σαπρός@ngmsc κακωδία@nnfsc καί@cs ἐν@p φυτόν@ndnpc καί@cs ἐν@p ζώιον@ndnpc καί@cs ἐν@p ὁ@ddnp ἄψυχος@andnp- ἐν@p ἅπας@andmp- δέ@b διαφθείρω@vppedmp ὅς@vppanms μή@b ὁ@dnfs σύστασις@nnfsc εὐθύς2@b ἐκ@p τοιοῦτος@angfs- ὕλη@ngfsc ἔχω@vipa3s γάρ@b ἔνιοι@ananp- καί@b ὁ@dafs ὁ@dgfs ὕλη@ngfsc ὀσμή@nafsc οὐ@b μήν@b ἐπί@p πᾶς@angnp- γε@b οὗτος@rpnns ἀκολουθέω@vipa3s πολύς@annnp- γάρ@b οὐ@b κακώδης@annnp- ὁ@dnnp ἐκ@p ὁ@dgnp σαπρός@angnp- ὡς@cs οὐδέ@cs ὁ@dnmp μύκητ@nnmpc ὁ@dnmp ἐκ@p ὁ@dgfs κόπρος@ngfsc φύω@vppenmp ὁ@dnnp δέ@b ἐκ@p σῆψις@ngfsc φύω@vppennp καί@cs συνιστάω@vppennp κακώδης@annnp- ἄοσμος@nnnsc μέν@b οὖν@b ὡς@cs ἁπλόος@b εἶπον@vnaa-- ὁ@danp πέπνυμαι@vpreanp καί@cs λεπτός@ananp- καί@cs ἥκιστος@ananps γεώδης@ananp- ὁ@dnns γάρ@b ὁ@dgfs ὀσμή@ngfsc ἐν@p ἀναπνοή@ndfsc κακώδης@annnp- δέ@b δηλονότι@b ὁ@dnnp ἐναντίος@annnp- πολύς@annnp- δέ@b ὥσπερ@cs ὁ@dgnp γλυκύς@angnp- ἐμφαίνω@vipa3s τις@rpacs πικρότης@nnfsc καί@cs ὁ@dgnp εὐωδής@angnp- βαρύτης@nnfsc ὁ@ddfp ὀσμή@ndfpc"
"odor._2.4","εἰμί@ ἔχω@vipa3s δέ@b ἕκαστος@anams- ὀσμή@nafsc ἴδιος@anafs- καί@cs ζώιον@ngnpc καί@cs φυτόν@ngnpc καί@cs ὁ@dgnp ἄψυχος@angnp- ὅσος@rpnnp ὀσμώδης@annnp- πολύς@annnp- δέ@b ἐγώ@rpdmp οὐ@b φαίνω@vipe3s διά@p ὁ@dans κακός@anafss ἔχω@vnpa-- ὁ@dafs αἴσθησις@nafsc οὗτος@anafs- ὡς@cs εἶπον@vnaa-- ἐπεί@cs ὁ@ddmp γε@b ἄλλος@rpdmp καί@b ὁ@danp παντελής@b ἄοδμος@nnnpc φαίνω@vppennp δίδωμι@vipa3s τις@anafs- ὀσμή@nafsc ὥσπερ@cs ὁ@dnfp κριθή@nnfpc ὁ@ddnp ὑποζύγιον@ndnpc ὁ@dnfp ἐκ@p ὁ@dgfs κεδροπόλιος@ngfsp ὅς@rpafp οὐ@b ἐσθίω@vipa3p διά@p ὁ@dafs κακωδία@nafsc ἐγώ@rpacp δέ@b καί@cs ὁ@dnfp ὁ@dgnp ζώιον@ngnpc λανθάνω@vipa3p ὁ@dgnp ὀσμώδης@angnp- δοκέω@vppagnp εὐωδία@ndfsc μέν@b οὖν@b οὐδείς@rpans φαίνω@vipe3s κατά@p ἑαυτοῦ@rpans χαίρω@vnpa-- ὡς@cs εἶπον@vnaa-- ἀλλά@cs ὅσος@annnp- πρός@p ὁ@dafs τροφή@nafsc καί@cs ὁ@dafs ἀπόλαυσις@nafsc πονέω@vnpa-- δέ@b ἔνιοι@annnp- φαίνω@vipe3s ὁ@ddfp ὀσμή@ndfpc καί@cs ὁ@ddfp εὐωδία@ndfpc εἴπερ@cs ἀληθής@annns- ὁ@dnns ἐπί@p ὁ@dgmp γύψ@ngmpc καί@cs ὁ@dgmp κάνθαρος@ngmpc οὗτος@rpnns δέ@b δῆλος@annns- ὡς@cs διά@p ἐναντίωσις@nafsc ὁ@dgfs ἐν@p αὐτός@rpdmp φύσις@ngfsc ὡς@cs δέ@b κατά@p ἕκαστος@anans- ἅμα@nansc δεῖ@vipa3s ὁ@dafs γε@b κρᾶσις@nafsc ὁ@dafs ἕκαστος@angms- καί@cs ὁ@dafs ὁ@dgfs ὀσμή@ngfsc λαμβάνω@vnpa-- δύναμις@nafsc"
"odor._2.5","εἰμί@vipa3p μέν@b οὖν@b ἔνιοι@annfp- ὁ@dgnp εὔοσμος@angnp- καί@cs ἐν@p ὁ@ddfp τροφή@ndfpc οἶος@anans- ὁ@dnfp ὁ@dgfp ἀκρόδρυα@ngfpc καί@cs ἄπιος@angnp- καί@cs μῆλον@ngnpc οὗτος@rpnfp παρά@nnfsp ἄνευ@p ὁ@dgfs προσφορά@ngfsc ἡδύς@annfp- καί@b μᾶλλον@b ὡς@cs εἶπον@vnaa-- οὐ@b μήν@b ἀλλά@cs ὡς@cs γε@b ἁπλόος@b διαιρέω@vnaa-- ὁ@dnfp μέν@b εἰμί@vipa3p κατά@p ἑαυτοῦ@rpafp ὁ@dnfp δέ@b κατά@p συμβαίνω@vpraans ὁ@dnfp μέν@b ὁ@dgfp χυλός@ngmpc καί@cs ὁ@dgfs τροφή@ngfsc κατά@p συμβαίνω@vpraans ὁ@dnfp δέ@b ὥσπερ@cs ὁ@dgmp ἄνθος@ngfpc κατά@p ἑαυτοῦ@rpafp ὡς@b δέ@b ἐπίπαν@b ὁ@dnnp ἄοσμος@nnnpc καθά@cs καί@b πρότερος@anans- λέγω3@viap3s δύσχυμος@annnp- καί@b στρυφνός@annnp- καί@cs ὑπόπικρος@annnp- ἔνιοι@annnp- δέ@b ὁ@dgnp εὔχυμος@angnp- καί@cs κακώδης@annnp- καθά@cs καί@b ὁ@dnns αἰγύπτιος@annns- καλέω@vppeams σῦκον@namsc γλυκύς@anans- εἰμί@vppaans καί@b εἰ@cs μή@b πανταχοῦ@b ἀλλά@cs ἐνιαχοῦ@b καί@cs ὁ@dnfs ἄρκευθος@annfs- ἐμφαίνω@vipa3s τις@rpacs ὁ@ddfs μασάομαι@ndfsc κακωδία@nafsc γλυκύς@annfs- εἰμί@vppanfs ὁ@dnns δέ@b οὖρος@namsc ποιέω@vipa3s εὐώδης@anans-"
"odor._2.6","ἐπεί@cs δέ@b ὁ@dgfp ὀσμή@ngfpc ὁ@dnfp μέν@b ἐν@p φυτόν@ndnpc καί@cs ὁ@ddnp οὗτος@rpgmp μόριον@ndnpc οἷος@rpnns κλώς@ndmpc φύλλον@ndnpc φλοιός@andmp- καρπός1@ndmpc δάκρυον@andmp- ὁ@dnfp δέ@b ὥσπερ@cs διαιρέω@vipa1p ἐν@p ζώιον@ndnpc καί@cs ὁ@ddnp ἄψυχος@andnp- οὗτος@rpnfp μέν@b φανερός@annns- ὅτι@cs πέψις@nafsc ἕκαστος@annfp- λαμβάνω@vipa3p ἐν@p ὁ@ddnp οἰκεῖος@andnp- καί@b ὁ@dnns εὐώδης@annns- καί@cs κακώδης@annns- ἀκολουθέω@vipa3s κατά@p ὁ@dafp οἰκεῖος@anafp- φύσις@nafpc ὁ@dnfs δέ@b πέψις@nnfsc ὁ@ddns οἰκεῖος@andns- θερμός@andns- ἐν@p δέ@b ὁ@ddmp ἄψυχος@ndmpc ὁ@ddfp ὁ@dgnp ἁπλόος@angnp- δύναμις@ndfpc καί@b γίγνομαι@vipe3p καί@cs μεθίστημι@vipe3p καθά@cs ὁ@dnmp χυμός@nnmpc"
"odor._3.7","iii@ ὅσος@rpnfp δέ@b δή@b κατά@p τέχνη@nafsc καί@cs ἐπίνοια@nafsc γίγνομαι@vipe3p περί@p οὗτος@rpgnp πειρατέος@annns- εἶπον@vnaa-- ὥσπερ@cs καί@b περί@p ὁ@dgfp χυλός@ngmpc ἐν@p ἄμφω@angmd- δέ@b δῆλος@annns- ὡς@cs ἀεί@b πρός@p ὁ@dans βέλτιον@anans- ἐγώ@rpdmp ὁ@dnfs ἀναφορά@nnfsc πᾶς@annfs- γάρ@b τέχνη@nnfsc στοχάζομαι@vipe3s οὗτος@rpgns εἰμί@vipa3p μέν@b οὖν@b καί@b ὁ@ddmp ἄμικτος@andmp- ὀσμή@nnfpc τις@anncp- πρός@p ὅς@rpafp συνεργέω@vnpa-- πειράω@vipe3p καί@b ὁ@ddfp παρά@ndfpc σκευή@ndfpc ὡς@cs καί@b πρός@p ὁ@dafp ὁ@dgmp χυμός@ngmpc εὐστομία@nafpc οὐ@b μήν@b ἀλλά@cs ὡς@cs γε@b ἁπλόος@b εἶπον@vnaa-- ἐν@viia3s μῖξις@vifa3s ὁ@dnns πλέος@annnsc καί@cs οὕτως@b ὁ@dnfp μῖξις@nnfpc δύο@ μέν@b ὡς@cs ὁ@ddns γένος@ndnsc λαμβάνω@vnaa-- ὑγρός@angns- καί@cs ξηρός@angns- τριχῶς@b δέ@b γίγνομαι@vipe3p γίγνομαι@vipe3p ὅταν@cs ὁ@dnfs ὁμογενής@annns- ὁμογενής@vipa3s ὁ@dnfs παραλλάσσω@annns- ὁ@ddms παραλλάσσω@vppadms ὁ@dnfs ὑγρός@andms- ὑγρός@annns- ὁ@dnfs ξηρός@andns- ξηρός@annns- ἤ1@cs ὑγρός@andms- ξηρός@annns-"
"odor._3.8","ἐκ@p δύο@angnd- γάρ@b οὗτος@rpgnp καί@b ὁ@dnfs ὁ@dgmp χυλός@ngmpc καί@cs ὁ@dgmp ὀσμή@ngmpc γένεσις@nnfsc ὡς@cs μέν@b ὁ@dnmp ὁ@danp ἄρωμα1@nanpc καί@cs ὁ@danp διάπαυμα@nanpc συντίθημι@vppanmp ξηρός@andmp- πρός@p ξηρός@ananp- ὡς@cs δέ@b ὁ@dnmp ὁ@danp μύρον@nanpc κεράννυμι@vppanmp ἤ1@cs ὁ@ddms οἶνος@ndmsc ἐπιχέω@vppanmp ὑγρός@andnp- πρός@p ὑγρός@nanpc ὁ@dnns δέ@b τρίτος@annns- ὅς@rpnns καί@b πλεῖστος@annns- εἰμί@vipa3s ὡς@cs ὁ@dnmp μυρεψός@nnmpc ξηρός@andnp- πρός@p ὑγρός@nanpc πᾶς@angns- γάρ@b μύρον@ngnsc καί@cs χρῖσμα@ngnsc ὁ@dnfs σύνθεσις@nnfsc οὗτος@rpnfs δεῖ@vipa3s δέ@b οἶδα@vnra-- ποῖος@annfp- ποῖος@andmp- εὔμικτος@annfp- καί@cs ποῖος@rpnfp ποῖος@rpdnp συνεργέω@vipa3p εἰς@p ὁ@dans ποιέω@vnpa-- εἷς@anafs- ὥσπερ@cs ἐπί@p ὁ@dgmp χυμός@ngmpc καί@b γάρ@b ἐκεῖ@b ὁ@dans αὐτός@anans- οὗτος@rpans ζητέω@vipa3p ὁ@dnmp μίγνυμι@vppanmp καί@cs οἶος@anans- ἀρτύω@vppanmp οὗτος@rpnnp μέν@b οὖν@b ἐν@p ὅς@rpdnp καί@cs διά@p ὅς@rpgnp ὁ@dnfp τέχνη@nnfpc ποιέω@vipe3p ὁ@danp τέλος@nanpc"
"odor._3.9","μίγνυμι@vipe3p δέ@b ὁ@danp μέν@b αὐτός@angfs- ὁ@dgfs ὀσμή@ngfsc ἕνεκα@p καί@cs πρός@p οὗτος@anafs- ὁ@dafs αἴσθησις@nafsc ὁ@danp δέ@cs ὥσπερ@b ἡδύνω@vnpa-- βούλομαι@vppennp ὁ@dafs γεῦσις@nafsc οἶος@anans- ὡς@cs ὁ@dnmp ὁ@danp μύρον@nanpc ὁ@ddmp οἶνος@ndmpc ἐπιχέω@vppanmp ἤ1@cs ὁ@danp ἄρωμα1@nanpc ἐμβάλλω@vppanmp ὁ@dnfp γάρ@b αἴσθησις@nnfpc σύνεγγυς@b εἰμί@vppanfp ποιέω@vipa3p τις@anafs- ἀπόλαυσις@nafsc ἀλλήλων@rpgmp ὅθεν@b καί@b αὐτός@andmp- ὁ@ddmp γευστός@andmp- ζητέω@vipa3p ὁ@dafp εὐωδία@nafpc"
"odor._3.10","ἀπορέω@voaa3s δέ@b ἄν@b τις@rpnms ἴσως@b διά@p τίς@rpans ποτέ@b μύρον@nnnsc καί@cs ὁ@dnnp ἄλλος@rpnnp ἄοσμος@nnnsc ὁ@damp μέν@b οἶνος@nampc ἡδύνω@vipa3s ὁ@dgnp δέ@b βρῶμα@ngnpc οὐδείς@rpans ἀλλά@cs πᾶς@annnp- λυμαίνομαι@vipe3s καί@b ἀπύρωτος@annnp- καί@cs καίω@vprennp ὁ@dans δέ@b αἴτιος@anans- ὑποληπτέον@annns- ὅτι@cs συμβαίνω@vipa3s ὁ@dgnp μέν@b ξηρός@angnp- ἀφαιρέω@vnpe-- τε@b ὁ@dams οἰκεῖος@anams- χυλός@namsc διά@p ὁ@dafs ἰσχύς@nafsc καί@cs ἅμα@ananp- συνεπιφαίνω@vnpa-- ὁ@dams ἑαυτοῦ@rpgms εἰμί@vppaams στρυφνός@anams- καί@cs ὑπόπικρος@anams- ἅπας@annns- γάρ@b ὁ@dnns ἄοσμος@annns- τοιοῦτος@rpnns διαμασάομαι@vppedmp δέ@b καί@b μᾶλλον@b ἐμφανής@annns- διά@p τε@b ὁ@dafs θλίψις@nafsc καί@cs τομή@nafsc καί@cs ἔτι@b ὁ@ddns χρονίζω@vnpe--"
