"location","text"
"Odys._1","οὐ@b πρός@p σύ@rpams ἐγώ@rpdms μόνος@anans- ὁ@dnms λόγος@nnmsc διά@p ὅς@rpams ἀνίστημι@viaa1s ἀλλά@cs καί@b πρός@p ὁ@damp ἄλλος@rpamp ἅπας@anamp- πλείων@ananpc γάρ@b ἀγαθός@ananp- ποιέω@vira1s ὁ@dans στρατόπεδον@nansc ἐγώ@rpnms ἤ1@cs σύ@rpnmp ἅπας@annmp- καί@b οὗτος@rpanp καί@b ζάω@vppagms ἄν@b λέγω3@viia1s ἀχιλλεύς@ngmsp καί@cs νῦν@b θνήσκω@vpragms λέγω3@vipa1s πρός@p σύ@rpamp σύ@rpnmp μέν@b γάρ@b οὐδείς@anafs- ἄλλος@anafs- μάχη@nafsc νικάω@vire2p ὅς@rpafs οὐ@b καί@b ἐγώ@rpnms μετά@p σύ@rpgmp ἐγώ@rpdms δέ@b ὁ@dgmp ἴδιος@angmp- κίνδυνος@ngmpc οὐδείς@rpnms σύ@rpgmp οὐδείς@anans- σύνοιδα@viia3s"
"Odys._2","καίτοι@b ἐν@p μέν@b ὁ@ddfp κοινός@andfp- μάχη@ndfpc οὐ@b δέ@b εἰ@cs καλός@b ἀγωνίζομαι@vope2p πλέος@annnsc γίγνομαι@viie3s οὐδείς@rpnns ἐν@p δέ@b ὁ@ddmp ἐμός@andmp- κίνδυνος@ndmpc ὅς@rpamp ἐγώ@rpnms μόνος@annms- κινδυνεύω@viia1s εἰ@cs μέν@b κατορθόω@voaa1s ἅπας@annnp- ἐγώ@rpdmp ἐπιτελέω@viie3s ὅς@rpgnp ἕνεκα@p δεῦρο@b ἀφικνέομαι@vire1p εἰ@cs δέ@cs σφάλλω@viap1s ἐγώ@rpgms ἄν@b εἷς@angms- ἀνήρ@ngmsc στερέω@viie2p οὐ@b γάρ@b ἵνα@cs μάχομαι@vope1p ὁ@ddmp τρώς@ndmpp δεῦρο@b ἀφικνέομαι@vire1p ἀλλά@cs ἵνα@cs ὁ@dafs τε@b ἑλένη@nafsp ἀπολαμβάνω@voaa1p καί@cs ὁ@dafs τροία@nafsp αἱρέω@voaa1p"
"Odys._3","οὗτος@rpnnp δέ@b ἐν@p ὁ@ddmp ἐμός@andmp- κίνδυνος@ndmpc ἐνεἰμί@viia3s ἅπας@annnp- ὅπου@b γάρ@b εἰμί@viia3s χράω@vprenns ἀνάλωτος@anafs- εἰμί@vnpa-- ὁ@dafs τροία@nafsp εἰ@cs μή@b πρότερος@b ὁ@dans ἄγαλμα@nansc ὁ@dgfs θεός@ngfsc λαμβάνω@voaa1p ὁ@dans κλέπτω@vpapans παρά@p ἐγώ@rpgmp τις@rpnms εἰμί@vipa3s ὁ@dnms κομίζω@vpaanms δεῦρο@b ὁ@dans ἄγαλμα@nansc ἄλλος@rpnms ἤ1@cs ἐγώ@rpnms ὅς@rpams σύ@rpncs γε@b ἱεροσυλία@nafpc κρίνω@vipa2s σύ@rpnms γάρ@b οὐδείς@anans- οἶδα@vira2s ὅστις@rpnms ὁ@dams ἀνήρ@namsc ὁ@dams ἀνασῴζω@vpaaams ὁ@dans ἄγαλμα@nansc ὁ@dgfs θεός@ngfsc ἀλλά@cs οὐ@b ὁ@dams ὑφαιρέω@vpamams παρά@p ἐγώ@rpgmp ἀλέξανδρος@namsp ἀποκαλέω@vipa2s ἱερόσυλος@namsc"
"Odys._4","καί@b ὁ@dafs τροία@nafsp μέν@b ἁλίσκομαι@vnaa-- ἅπας@annmp- εὔχομαι@vipe2p ἐγώ@rpams δέ@cs ὁ@dams ἐξευρίσκω@vppaams ὅπως@b εἰμί@vifm3s οὗτος@rpnns ἀποκαλέω@vipa2s ἱερόσυλος@anams- καίτοι@b εἴπερ@cs καλός@annns- γε@b εἰμί@viia3s αἱρέω@vnaa-- ὁ@dans ἴλιος@nansp καλός@annns- καί@b ὁ@dnns εὑρίσκω@vnaa-- ὁ@dans οὗτος@rpgns αἴτιος@anans- καί@b ὁ@dnmp μέν@b ἄλλος@rpnmp χάρις@nafsc ἔχω@vipa3p σύ@rpncs δέ@b καί@b ὀνειδίζω@vipa2s ἐγώ@rpdcs ὑπό@p γάρ@b ἀμαθία@ngfsc ὅς@rpgnp εὖ@b πάσχω@vira2s οὐδείς@rpans οἶδα@vira2s"
"Odys._5","καί@b ἐγώ@rpnms μέν@b οὐ@b ὀνειδίζω@vipa1s σύ@rpdcs ὁ@dafs ἀμαθία@nafsc ἀέκων@annms- γάρ@b αὐτός@anans- καί@b σύ@rpnms καί@cs ὁ@dnmp ἄλλος@rpnmp πάσχω@vira3p ἅπας@annmp- ἀλλά@b ὅτι@cs διά@p ὁ@danp ὄνειδος@nanpc ὁ@danp ἐμός@ananp- σώζω@vppenms οὐ@b οἷος@annms- τε@b εἰμί@vipa2s πείθω@vnpe-- ἀλλά@cs καί@b προσαπειλέω@vipa2s ὡς@b κακός@anans- δράω@vpfanms τις@rpans ὅδε@rpamp ἐάν@cs ἐγώ@rpdms ὁ@danp ὅπλον@nanpc ψηφίζω@vsam3p καί@cs πολλάκις@b γε@b ἀπειλέω@vifa2s καί@b πολύς@ananp- πρίν@cs καί@b μικρός@anans- τις@rpans ἐργάζομαι@vnae-- ἀλλά@b εἴπερ@cs ἐκ@p ὁ@dgnp ἔοικα@vpragnp τις@rpans χρή@vipa3s τεκμαίρομαι@vnpe-- ὑπό@p ὁ@dgfs κακός@angfs- ὀργή@ngfsc οἴομαι@vipe1s σύ@rpacs κακός@anans- τις@rpans σεαυτοῦ@rpams ἐργάζομαι@vnfe--"
"Odys._6","καί@cs ἐγώ@rpdms μέν@b ὅτι@cs ὁ@damp πολέμιος@nampc κακός@b ποιέω@viaa1s δειλία@nafsc ὀνειδίζω@vipa2s σύ@rpnms δέ@b ὅτι@cs φανερός@b μογέω@viia2s καί@b μάτην@b ἠλίθιος@annms- εἰμί@viia2s ἤ@cs μετά@p πᾶς@angmp- οὗτος@rpans δράω@viaa2s οἴομαι@vipe2s βελτίων@annmsc εἰμί@vnpa-- ἔπειτα@b περί@p ἀρετή@ngfsc πρός@p ἐγώ@rpacs λέγω@vipa2s ὅς@rpnms πρῶτος@anans- μέν@b οὐ@b οἶδα@vira2s οὐδέ@b ὅπως@b δεῖ@viia3s μάχομαι@vnpe-- ἀλλά@cs ὥσπερ@cs ὗς@nn-sc ἄγριος@annms- ὀργή@ndfsc φέρω@vppenms τάχα@b ἄν@b ποτέ@b ἀποκτείνω@vifa2s σεαυτοῦ@rpams κακός@b περιπίπτω@vpaanms ὁ@ddns ξίφος@ndnsc οὐ@b οἶδα@vira2s ὅτι@cs ὁ@dams ἀνήρ@namsc ὁ@dams ἀγαθός@anams- οὔτε@b ὑπό@p ἑαυτοῦ@rpgms χρή@vipa3s οὔτε@b ὑπό@p ἕτερος@angms- οὔτε@b ὑπό@p ὁ@dgmp πολέμιος@angmp- κακός@anams- οὐδέ@b ὁτιοῦν@rpans πάσχω@vnpa--"
"Odys._7","σύ@rpnms δέ@b ὥσπερ@cs ὁ@dnmp παῖς@nnmpc χαίρω@vipa2s ὅτι@cs σύ@rpams φημί@vipa3p ὅδε@rpnmp ἀνδρεῖος@anams- εἰμί@vnpa-- ἐγώ@rpnms δέ@x δειλός@anamss γε@x ἅπας@angmp- τε@x καί@cs δείδω@vpraams ὁ@dams θάνατος@namsc μάλιστα@b ὅστις@rpnms γε@x πρῶτος@anans- ὅπλον@nanpc ἔχω@vipa2s ἄρρηκτος@ananp- καί@cs ἄτρωτος@ananp- διά@p ὅσπερ@rpanp σύ@rpams φημί@vipa3p ἄτρωτος@anams- εἰμί@vnpa-- καίτοι@b τίς@rpans ἄν@b δράω@voaa2s εἰ@cs τις@rpncs σύ@rpdms ὁ@dgmp πολέμιος@angmp- τοιοῦτος@rpanp ὅπλον@nanpc ἔχω@vppanms προσέρχομαι@voaa3s ἦ@b πού@b καλός@annns- τις@rpnns καί@cs θαυμαστός@annns- ἄν@b εἰμί@vopa3s εἰ@cs μηδέτερος@annms- σύ@rpgmp μηδείς@rpans δράω@vnaa-- δύναμαι@vope3s ἔπειτα@b οἴομαι@vipe2s τις@rpans διαφέρω@vnpa-- τοιοῦτος@rpanp ὅπλον@nanpc ἔχω@vnpa-- ἤ1@cs ἐντός@p τεῖχος@ngnsc κάθημαι@vnpe-- καί@cs σύ@rpd-s μόνος@andms- δή@x τεῖχος@nnnsc οὐ@b εἰμί@vipa3s ὡς@b σύ@rpnms φημί@vipa2s μόνος@annms- μέν@b οὖν@b σύ@rpnms γε@b ἑπταβόειον@nansc περιέρχομαι@vipe2s τεῖχος@nansc προβάλλω@vppenms ἑαυτοῦ@rpgms"
"Odys._8","ἐγώ@rpncs δέ@b ἄοπλος@annms- οὐ@b πρός@p ὁ@danp τεῖχος@nanpc ὁ@dgmp πολέμιος@angmp- ἀλλά@cs εἰς@p αὐτός@rpanp εἰσέρχομαι@vipe1s ὁ@danp τεῖχος@nanpc καί@cs ὁ@dgmp πολέμιος@angmp- ὁ@damp προφύλαξ@nampc ἐγείρω@vpraamp αὐτός@rpdmp ὅπλον@ndnpc αἱρέω@vipa1s καί@cs εἰμί@vipa1s στρατηγός@nnmsc καί@cs φύλαξ@nnmsc καί@cs σύ@rpgcs καί@cs ὁ@dgnp ἄλλος@rpgnp ἅπας@angmp- καί@cs οἶδα@vira1s ὁ@danp τε@danp ἐνθάδε@b καί@cs ὁ@danp ἐν@p ὁ@ddmp πολέμιος@andmp- οὐ@b πέμπω@vppanms κατάσκέπτομαι@vpfmams ἄλλος@rpams ἀλλά@cs αὐτός@rpnms εἶμι@vppanms ὥσπερ@cs δέ@b ὁ@dnmp κυβερνήτης@nnmpc ὁ@dafs νύξ@nafsc καί@cs ὁ@dafs ἡμέρα@nafsc σκοπέω@vipa3p ὅπως@cs σώζω@vsaa3p ὁ@damp ναύτης@nampc οὕτως@b δέ@b καί@b ἐγώ@rpnms καί@b σύ@rpams καί@cs ὁ@damp ἄλλος@rpamp ἅπας@anamp- σώζω@vipa1s"
"Odys._9","οὐδέ@rpnms εἰμί@vipa3s ὅστις@rpams κίνδυνος@namsc φεύγω@viaa1s αἰσχρός@anams- ἡγέομαι@vpamnms ἐν@p ὅς@rpdms μέλλω@vopa1s ὁ@damp πολέμιος@nampc κακός@anans- τις@rpans δράω@vnfa-- οὐδέ@b εἰ@cs μέν@b ὁράω@vnfm-- ἐγώ@rpacs τις@rpnmp μέλλω@viia3p γλίχομαι@vppenms ἄν@b ὁ@dgns δοκέω@vnpa-- τολμάω@viia1s ἀλλά@cs εἰ@cs τε@cs δοῦλος@annms- εἰ@cs τε@cs πτωχός@annms- καί@cs μαστιγίης@nnmsc εἰμί@vppanms μέλλω@vopa1s ὁ@damp πολέμιος@anamp- κακός@anans- τις@rpans δράω@vnfa-- ἐπιχειρέω@viia1s ἄν@b καί@cs εἰ@cs μηδείς@rpnms ὁράω@vopa3s οὐ@b γάρ@b δοκέω@vnpa-- ὁ@dnms πόλεμος@nnmsc ἀλλά@cs δράω@vnpa-- ἀεί@b καί@b ἐν@p ἡμέρα@ndfsc καί@cs ἐν@p νύξ@ndfsc φιλέω@vipa3s τις@rpans οὐ@b δέ@b ὅπλον@nnnpc εἰμί@vipa3s ἐγώ@rpdms τάσσω@vprennp ἐν@p ὅς@rpdnp προκαλέω@vipe1s ὁ@damp πολέμιος@nampc μάχομαι@vnpe-- ἀλλά@cs ὅστις@rpams ἐθέλω@vipa3s τις@rpnms τρόπος@namsc καί@b πρός@p εἷς@anams- καί@cs πρός@p πολύς@anamp- ἑτοῖμος@annms- εἰμί@vipa1s ἀεί@b"
"Odys._10","οὐδέ@b ἡνίκα@cs ἄν@b κάμνω@vspa1s μάχομαι@vppenms ὥσπερ@cs σύ@rpnms ὁ@danp ὅπλον@nanpc ἕτερος@andmp- παραδίδωμι@vipa1s ἀλλά@cs ὁπόταν@cs ἀναπαύω@vspe3p ὁ@dnmp πολέμιος@nnmpc τότε@b αὐτός@rpdmp ὁ@dgfs νύξ@ngfsc ἐπιτίθημι@vipe1s ἔχω@vppanms τοιοῦτος@ananp- ὅπλον@nanpc ὅς@rpnnp ἐκεῖνος@rpamp βλάπτω@vifa3s μάλιστα@b καί@b οὐ@b δέ@b νύξ@nnfsc πώποτε@b ἐγώ@rpams ἀφαιρέω@viam3s ὥσπερ@cs σύ@rpams πολλάκις@b μάχομαι@vppeams ἄσμενος@anams- παύω@vira3s ἀλλά@b ἡνίκα@cs ἄν@b ῥέγχω@vspa2s σύ@rpnms τηνικαῦτα@b ἐγώ@rpnms σώζω@vipa1s σύ@rpams καί@cs ὁ@damp πολέμιος@nampc ἀεί@b κακός@anans- τις@rpans ποιέω@vipa1s ἔχω@vppanms ὁ@danp δουλοπρεπής@ananp- οὗτος@ananp- ὅπλον@nanpc καί@b ὁ@danp ῥάκος@nanpc καί@cs ὁ@dafp μάστιξ@nafpc διά@p ὅς@rpafp σύ@rpnms ἀσφαλής@b καθεύδω@vipa2s"
