"location","text"
"Sophist._1","ἐπεί@cs τις@rpncp ὁ@dgmp καλέω@vppegmp σοφιστής@ngmpc ἱστορία@ngfsc μέν@b καί@cs παιδεία@ngfsc ἀμελέω@vira3p καί@cs ὁ@dgns δύναμαι@vnpe-- λέγω3@vnpa-- ὅμοιος@b ὁ@ddmp ἰδιώτης@ndmpc ἄπειρος@b ἔχω@vipa3p γράφω@vnpa-- δέ@b μελετάω@vpranmp λόγος@nampc καί@cs διά@p βιβλίον@ngnpc δείκνυμι@vppanmp ὁ@dafs ἑαυτοῦ@rpgmp σοφία@nafsc σεμνύνω@vipe3p καί@b μέγας@anans- φρονέω@vipa3p καί@cs πολλοστός@anans- μέρος@nansc ὁ@dgfs ῥητορικός@angfs- κτάομαι@vprenmp δύναμις@ngfsc ὁ@dgfs ὅλος@angfs- τέχνη@ngfsc ἀμφισβητέω@vipa3p διά@p οὗτος@anafs- ὁ@dafs αἰτία@nafsc ἐπιχειρέω@vifa1s κατηγορία@nafsc ποιέω@vnam-- ὁ@dgmp γραπτός@angmp- λόγος@ngmpc"
"Sophist._2","οὐ@b ὡς@b ἀλλότριος@anafs- ἐμαυτοῦ@rpgms ὁ@dafs δύναμις@nafsc αὐτός@rpgmp ἡγέομαι@vppenms ἀλλά@cs ὡς@b ἐπί@p ἕτερος@andmp- μέγας@anansc φρονέω@vppanms καί@cs ὁ@dans γράφω@vnpa-- ἐν@p πάρεργον@ndnsc μελετάω@vnpa-- οἴομαι@vppenms χρή@vnpa-- καί@cs ὁ@damp ἐπί@p αὐτός@anans- οὗτος@anans- ὁ@dams βίος@namsc καταναλίσκω@vppaamp ἀπολείπω@vnpe-- πολύς@anans- καί@b ῥητορικός@angfs- καί@cs φιλοσοφία@ngfsc ὑπολαμβάνω@vpranms καί@b πολύς@anans- δίκαιος@anansc ἄν@b ποιητής@nampc ἤ1@cs σοφιστής@nampc προσαγορεύω@vnpe-- νομίζω@vppanms"
"Sophist._3","πρῶτος@anans- μέν@b οὖν@b ἐντεῦθεν@b ἄν@b τις@rpnms καταφρονέω@voaa3s ὁ@dgns γράφω@vnpa-- ἐκ@p ὅς@rpgnp εἰμί@vipa3s εὐεπίθετος@annns- καί@b ῥᾴδιος@annns- καί@cs ὁ@ddfs τυγχάνω@vpaadfs φύσις@ndfsc πρόχειρον@annns- εἶπον@vnaa-- μέν@b γάρ@b ἐκ@p ὁ@dgns παραυτίκα@b περί@p ὁ@dgns παρατυγχάνω@vpaagns ἐπιεικής@b καί@cs ταχύς@ndfsc χράω2@vnam-- ὁ@dgnp ἐπιχείρημα@ngnpc καί@cs ὁ@dgnp ὄνομα@ngnpc εὐπορία@ndfsc καί@cs ὁ@ddms καιρός@ndmsc ὁ@dgnp πρᾶγμα@ngnpc καί@cs ὁ@ddfp ἐπιθυμία@ndfpc ὁ@dgmp ἄνθρωπος@ngmpc εὔστοχος@b ἀκολουθέω@vnaa-- καί@cs ὁ@dams προσήκω@vppaams λόγος@namsc εἶπον@vnaa-- οὐ@b τε@cs φύσις@ngfsc ἅπας@angfs- οὐ@b τε@cs παιδεία@ngfsc ὁ@dgfs τυγχάνω@vpaagfs εἰμί@vipa3s"
"Sophist._4","ἐν@p πολύς@andms- δέ@b χρόνος@ndmsc γράφω@vnaa-- καί@cs κατά@p σχολή@nafsc ἐπανορθόω@vnaa-- καί@b παρατίθημι@vpamams ὁ@danp ὁ@dgmp προγίγνομαι@vpragmp σοφιστής@ngmpc σύγγραμμα@nanpc πολλαχόθεν@b εἰς@p ὁ@dans αὐτός@rpams βούλευμα@nanpc συναγείρω@vnaa-- καί@cs μιμέομαι@vnae-- ὁ@dafp ὁ@dgnp εὖ@b λέγω3@vppegnp ἐπιτυχία@nafpc καί@cs ὁ@danp μέν@b ἐκ@p ὁ@dgfs ὁ@dgmp ἰδιώτης@ngmpc συμβουλία@ngfsc ἐπανορθόω@vnae-- ὁ@danp δέ@cs αὐτός@rpams ἐν@p ἑαυτοῦ@rpdms πολλάκις@b ἐπισκέπτομαι@vpamams ἀνακαθαίρω@vnaa-- καί@cs μεταγράφω@vnaa-- καί@b ὁ@ddnp ἀπαίδευτος@andmp- ῥᾴδιος@annns- φύω@vira3s"
"Sophist._5","εἰμί@vipa3s δέ@b ἅπας@annnp- ὁ@dnnp μέν@b ἀγαθός@annnp- καί@cs καλός@annnp- σπάνιος@annnp- καί@b χαλεπός@annnp- καί@cs διά@p πόνος@ngmpc ἔθω@vpraanp γίγνομαι@vnpe-- ὁ@dnnp δέ@cs ταπεινός@annnp- καί@cs φαῦλος@annnp- ῥᾴδιος@anafs- ἔχω@vipa3s ὁ@dafs κτῆσις@nafsc ὥστε@b ἐπεί@cs ὁ@dnns γράφω@vnpa-- ὁ@dgns λέγω3@vnpa-- ἑτοῖμος@annnsc ἐγώ@rpdmp εἰμί@vipa3s εἰκότως@b ἄν@b αὐτός@rpgns καί@b ὁ@dafs κτῆσις@nafsc ἐλάσσων@angnsc ἀξία@anafs- νομίζω@vopa1p"
"Sophist._6","ἔπειτα@b ὁ@ddmp μέν@b λέγω3@vnpa-- δεινός@andnp- οὐδείς@rpnms ἄν@b φρονέω@vppanms ἀπιστέω@voaa3s ὡς@cs οὐ@b μικρός@anans- ὁ@dafs ὁ@dgfs ψυχή@ngfsc ἕξις@nafsc μεταρρυθμίζω@vpaanmp ἐπιεικής@b λογογραφέω@vifa3p ὁ@ddmp δέ@b γράφω@vnpa-- ἀσκέω@vppmdmp οὐδείς@rpnms ἄν@b πιστεύω@voaa3s ὡς@cs ἀπό@p ὁ@dgfs αὐτός@rpgfs δύναμις@ngfsc καί@b λέγω3@vnpa-- οἷος@annmp- τε@rpanp εἰμί@vifm3p ὁ@damp μέν@b γάρ@b ὁ@danp χαλεπός@ananp- ὁ@dgnp ἔργον@ngnpc ἐπιτελέω@vppaamp εἰκός@vpranns ὅταν@cs ἐπί@p ὁ@danp ῥαίω@n---c ὁ@dafs γνώμη@nafsc μεθίστημι@vsaa3p εὔπορος@b μεταχειρίζω@vnam-- ὁ@dafs ὁ@dgnp πρᾶγμα@ngnpc ἀπεργασία@nafsc ὁ@ddmp δέ@b ὁ@danp ῥαίδιος@nanpc γυμνάζω@vpredmp ἀντίτυπος@annfs- καί@cs προσάντης@nnfsc ὁ@dnfs ὁ@dgmp χαλεπός@angmpc ἐπιμέλεια@nnfsc καθίστημι@vipe3s γιγνώσκω@voaa3s δέ@b ἄν@b τις@rpnms ἐκ@p ὅδε@angnp- ὁ@dgnp παράδειγμα@ngnpc"
"Sophist._7","ὁ@dnms μέν@b γάρ@b αἴρω@vnaa-- μέγας@anans- φορτίον@nansc δύναμαι@vppenms ἐπί@p ὁ@danp κοῦφος@ananp- μετέρχομαι@vpaanms ῥᾴδιος@b μεταχειρίζω@voam3s ἄν@b ὁ@dnms δέ@b πρός@p ὁ@danp κοῦφος@nanpc ὁ@ddfs δύναμις@ndfsc διήκω@vppenms οὐδείς@rpans ἄν@b ὁ@dgnp βαρύς@angnp- οἷος@annms- τε@anans- εἰμί@vopa3s φέρω@vnpa-- καί@cs πάλιν@b ὁ@dnms μέν@b ποδώκης@annms- δρομεύς@nnmsc ῥᾴδιος@b παρέπομαι@vnpe-- ὁ@ddmp βραδύς@andmpc δύναμαι@vope3s ἄν@b ὁ@dnms δέ@x βραδύς@annms- οὐ@b ἄν@x οἷος@annms- τε@cs εἰμί@vopa3s ὁ@ddmp θάσσιος@andmpc ὁμοδρομέω@vnpa-- ἔτι@b δέ@b πρός@p οὗτος@rpdnp ὁ@dnms μέν@b ὁ@danp πρόσω@b δύναμαι@vppenms ἐπίσκοπος@b ἀκοντίζω@vnpa-- ἤ1@cs τοξεύω@vnpa-- καί@b ὁ@dgnp ἐγγύς@b τυγχάνω@vifm3s ῥᾴδιος@b ὁ@dnms δέ@b ὁ@danp πλησίος@b βάλλω@vnpa-- ἐπίσταμαι@vppenms οὔπω@b δῆλος@annns- εἰ@cs καί@b ὁ@dgmp πρόσω@b δύναμαι@vifm3s τυγχάνω@vnpa--"
"Sophist._8","ὁ@dams αὐτός@anams- δή@b τρόπος@namsc καί@b περί@p ὁ@damp λόγος@nampc ὁ@dnms μέν@b ἐκ@p ὁ@dgns παραυτίκα@b καλός@b αὐτός@rpdnp χράομαι@vppenms οὐ@b ἄδηλος@annns- ὅτι@cs μετά@p χρόνος@ngmsc καί@cs σχολή@ngfsc ἐν@p ὁ@ddns γράφω@vnpa-- διαφέρω@vppanms εἰμί@vifm3s λογοποιός@nnmsc ὁ@dnms δέ@b ἐπί@p ὁ@dgns γράφω@vnpa-- ὁ@dafp διατριβή@nafpc ποιέω@vppenms οὐ@b ἀφανής@annns- ὅτι@cs μεταβαίνω@vpaanms ἐπί@p ὁ@damp αὐτοσχεδιαστικός@anamp- λόγος@nampc ἀπορία@ngfsc καί@b πλάνος@ngmsc καί@cs ταραχή@ngfsc ἔχω@vifa3s πλήρης@anafs- ὁ@dafs γνώμη@nafsc"
"Sophist._9","ἡγέομαι@vipe1s δέ@b καί@b ὁ@ddms βίος@ndmsc ὁ@dgmp ἄνθρωπος@ngmpc ὁ@dans μέν@b λέγω3@vnpa-- ἀεί@b τε@cs καί@cs διά@p πᾶς@angns- χρήσιμος@anans- εἰμί@vnpa-- ὁ@dgns δέ@cs γράφω@vnpa-- ὀλιγάκις@b εὔκαιρος@anafs- ὁ@dafs δύναμις@nafsc αὐτός@rpdms καθίστημι@vnpe-- τις@rpnms γάρ@b οὐ@b οἶδα@vira3s ὅτι@cs λέγω3@vnpa-- μέν@b ἐκ@p ὁ@dgns παραυτίκα@b καί@b δημηγορέω@vppadmp καί@b δικάζω@vppedmp καί@cs ὁ@dafp ἴδιος@anafp- ὁμιλία@nafpc ποιέω@vppadmp ἀναγκαῖος@annns- εἰμί@vipa3s καί@cs πολλάκις@b ἀπροσδόκητος@b καιρός@nnmpc πρᾶγμα@ngnpc παραπίπτω@vipa3p ἐν@p ὅς@rpdmp ὁ@dnmp μέν@b σιωπάω@vppanmp εὐκαταφρόνητος@annmp- δοκέω@vifa3p εἰμί@vnpa-- ὁ@damp δέ@cs λέγω3@vppaamp ὡς@b ἰσόθεος@anafs- ὁ@dafs γνώμη@nafsc ἔχω@vppaamp ὑπό@p ὁ@dgmp ἄλλος@rpgmp τιμάω@vppeamp ὁράω@vipa1p"
"Sophist._10","ὅταν@cs γάρ@b νουθετέω@vnaa-- δέω@vspa3s ὁ@damp ἁμαρτάνω@vppaamp ἤ1@b παραμυθέομαι@vnam-- ὁ@damp δυστυχέω@vppaamp ἤ1@b πραύνω@vnaa-- ὁ@damp παροξύνω@vpreamp ἤ1@cs ὁ@dafp ἐξαίφνης@b ἐπιφέρω@vpapafp αἰτία@nafpc ἀπολύω@vnam-- τηνικαῦτα@b ὁ@dnfs ὁ@dgns λέγω3@vnpa-- δύναμις@nnfsc ὁ@ddfs χρεία@ndfsc ὁ@dgmp ἄνθρωπος@ngmpc ἐπίἐπικουρέω@vnpa-- οἷος@rpnnp τε@rpanp εἰμί@vipa3s ὁ@dnfs δέ@b γραφή@nnfsc σχολή@ngfsc δέω@vipe3s καί@cs μακρός@anampc ποιέω@vipe3s ὁ@damp χρόνος@nampc ὁ@dgmp καιρός@ngmpc ὁ@dnmp μέν@b γάρ@b ταχύς@anafs- ὁ@dafs ἐπικουρία@nafsc ἐπί@p ὁ@dgmp ἀγών@ngmpc ἀπαιτέω@vipa3p ὁ@dnfs δέ@cs κατά@p σχολή@nafsc καί@b βραδύς@b ἐπιτελέω@vipa3s ὁ@damp λόγος@nampc ὥστε@b τις@rpnms ἄν@b φρονέω@vppanms οὗτος@anafs- ὁ@dafs δύναμις@nafsc ζηλόω@voaa3s ὅς@rpnfs ὁ@dgmp καιρός@ngmpc τοσοῦτος@rpans ἀπολείπω@vipe3s"
