"location","text"
"Ps-Oec.Rev.com._1.1","ἀποκαλγψις@nnmsc ἰησοῦς@ngmsp χριστός@ngmsp ἐάν@cs δίδωμι@viaa3s καί@b ὁ@b λ@rpafs ἀποκάλυψις@nnfsp εἰμί@vipa3s ὁ@dnfs ὁ@dgnp κρυπτός@angnp- μυστήριον@ngnpc δήλωσις@nnfsc καταυγάζω@vppegms ὁ@dgns ἡγεμονικός@angns- ὁ@dgfs ψυχή@ngfsc εἰ@cs τε@cs διά@p θεῖος2@angnp- ὄνειρος@ngnpc εἰ@cs τε@cs κατά@p ὕπαρ@nansc ἐκ@p θεῖος1@angfs- ἔλλαμψις@ngfsc δίδωμι@vnap-- δέ@b ὁ@ddms χριστός@ndmsp οὗτος@rpanp φημί@vipa3s ἀνθρώπινος@anamsc μᾶλλον@b περί@p αὐτός@rpgms ὁ@dams λόγος@namsc ποιέω@vppenms ἐπείπερ@b ἐν@p ὁ@ddns εὐαγγέλιον@ndnsp ὁ@ddmp ὑψηλός@andmp- καί@cs θεοπρεπής@andmp- ὑπέρ@p πᾶς@ananp- ἐνδιατρίβω@viaa3s καί@b ἐνταῦθα@b δέ@b διά@p ὁ@dgms διακονέω@vppagms ἄγγελος@ngmsp καί@cs ὁ@dgns ὁ@dgmp μανθάνω@vppagmp δοῦλος@ngmpc ὄνομα@ngnsc ὁ@dnns ὁ@dgfs θεότης@ngfsc ὁ@dgms χριστός@ngmsp ἐμφαίνω@vipa3s μέγεθος@nnnsc αὐτός@b γάρ@b δοῦλος@nnnpc ὁ@dnnp σύμπας@annnp- ὁ@dnns δέ@b ἐν@p τάχος@ndnsc γίγνομαι@vnam-- σημαίνω@vipa3s ὁ@dans τις@rpacs μέν@b ὁ@dgnp παρά@p πούς@nampc γίγνομαι@vnam-- ὁ@dgfs περί@p αὐτός@rpgnp πρόρρησις@ngfsc καί@cs ὁ@danp ἐπί@p συντελεία@ndfsc δέ@b μή@b βραδύνω@vnpa-- διότι@cs χίλιοι@ ἔτος@nanpc παρά@p θεός@ndmsp ὡς@cs ἡμέρα@nnfsc ὁ@dnfs ὅστις@rpnfs διέρχομαι@viaa3s καί@cs σημαίνω@viaa3s ἀποστέλλω@vpaanms ὁ@dnms χριστός@nnmsp ἐγώ@rpdms φημί@vipa3s ὡς@cs δεσπότης@nnmsc ὡς@b οἰκεῖος@andms- δοῦλος@ndmsc διά@p ’@p ἄγγελος@ngmsp οὗτος@rpanp δηλόω@vira3s ὁ@dafs εἰς@p αὐτός@rpams ὁμολογία@nafsc μαρτυρέω@vpaadms ἐπί@p ’@p ὅς@rpdfs διά@p ὁ@dgmp ὁράω@vpapgmp διαμαρτύρομαι@vnae-- καί@cs κηρύσσω@vnaa-- πρός@p ἐπιστροφή@nafsc ὁ@dgmp ἀκούω@vppagmp ὁ@danp τε@b εἰμί@vppaanp καί@cs ὁ@damp ἄνθρωπος@nampc λανθάνω@vppaams ὁ@rpnnp εἰμί@vnfm-- μέλλω@vppannp προφητικός@b γάρ@b ὁράω@vira3s ἀμφότερος@ananp- πατήρ@nnfsc καί@cs δῆλος@annns- ἐκ@p ὁ@dgns ἐρῶ@vnre-- ἄτινος@annnp- εἰμί@vipa3p καί@cs ὅς@rpanp χρή@vipa3s γίγνομαι@vnam-- οὗτος@rpnnp δέ@b εἰμί@vipa3s παραστατικός@annnp- ὁ@dgms ἐνίστημι@vpragms χρόνος@ngmsc καί@cs ὁ@dgns μέλλω@vppagns"
"Ps-Oec.Rev.com._1.3","μακάριος@nnmsp ὁ@dnms ἀναγιγνώσκω@vppanms μακαρίζω@vipa3s ὁ@damp διά@p ὁ@dgfp πρᾶξις@ngfpc ἀναγιγνώσκω@vppaamp καί@cs ἀκούω@vppaamp ἐγγύς@b γάρ@b ὁ@dnms πάρειμι@vppanms καιρός@nnmsc διά@p ὅς@rpgms ὁ@dgms μακαρισμός@ngmsc τυγχάνω@vnaa-- ἔξεστι@vipa3s καί@cs πᾶς@andmp- εἰς@p ἐργασία@nafsc πρόκειμαι@vprenms ὡς@cs φημί@vipa3s ὁ@dnms κύριος@nnmsp ἐργάζομαι@vmpe2p ἕως@cs ἡμέρα@nnfsc εἰμί@vipa3s καί@cs ἕτερος@annms- ἐγγύς@b ὁ@dnms καιρός@nnmsc ὁ@dnms ὁ@dgfs ὁ@dgmp ἆθλος@ngmpc διανομή@ngfsc διά@p ὁ@dafs ὁ@dgms πάρειμι1@vppagms βίος@ngmsc σμικρότης@nafsc σύγκρισις@vifa3s ὁ@dgns μέλλω@vppagns"
"Ps-Oec.Rev.com._1.4","ἰώαννης@nnmsp ὁ@ddfp ἑπτὰ@an---- ἐκκλησία@ndfpc ὁ@ddfp ἐν@p ὁ@ddfs ἀσία@ndfsp πολύς@ngfpp εἰμί@vppagfp κατά@p τόπος@namsc ἐκκλησία@ngfpc ἑπτὰ@an---- μόνος@anamp- ἀποστέλλω@viaa3s διά@p ὁ@dgms ἑβδοματικός@angms- ἀριθμός@ngmsc ὁ@dans μυστικός@anans- ὁ@dgfp ἁπανταχοῦ@b ἐκκλησία@ngfpc σημαίνω@vppanms καί@cs ὁ@ddms πάρειμι1@vppadms βίος@ndmsc σύστοιχος@anans- ἐν@p ὅς@rpdms ὁ@dnfs ἑβδοματικός@annfs- ὁ@dgfp ἡμέρα@ngfpc περίοδος@nnfsc γίγνομαι@vipe3s διό@cs καί@cs ἑπτὰ@an---- ἄγγελος@ngmpp καί@cs ἑπτὰ@an---- ἐκκλησία@ngfpc μιμνήσκω@vire3s ὅς@rpdfp φημί@vipa3s χάρις@nnfsc σύ@rpdcp καί@cs εἰρήνη@nnfsc ὁ@dgfs ἐνυπόστατος@angfs- θεότης@ngfsc διά@p μέν@b γάρ@b ὁ@dgns ὁ@dnms ὅς@vppanms ὁ@dnms πατήρ@nnmsp δηλονότι@b ὁ@dnms χρηματίζω@vpaanms ὁ@ddms μωυσῆς@ndmsp ἐγώ@rpncs εἰμί@vipa1s ὁ@dnms εἰμί@vppanms διά@p δέ@b ὁ@dnms εἰμί@viia3s ὁ@dnms χριστός@nnmsp ὅς@rpnms εἰμί@viia3s ἐν@p ἀρχή@ndfsc πρός@p ὁ@dams θεός@namsp διά@p δέ@b ὁ@rpgns ὁ@dnms ἔρχομαι@vppenms ὁ@dnms παράκλητος@nnmsp ὁ@dnms ἀεί@b ἐπιφοιτάω@vppanms ὁ@ddmp ὁ@dgfs ἐκκλησία@ngfsp τέκνον@ndnpc διά@p ὁ@dgns ἅγιος@angns- βάπτω@viia3s ’@ananp- βάπτισμα@ngnsc τέλειος@b δέ@cs καί@cs τρανής@b ἐν@p ὁ@ddns μέλλω@vppadns καί@cs ἀπό@p ὁ@dgnp ἑπτὰ@ πνεῦμα@ngnpc ἑπτὰ@ πνεῦμα@nanpc ὁ@damp ἑπτὰ@ ἄγγελος@nampp νοέω@vnpa-- δυνατός@annns- ὁ@damp ὁ@dgfs ἐκκλησία@ngfsp λαγχάνω@vpaaamp ὁ@dafs κυβέρνησις@nafsc οὐ@b συναριθμέω@vppeamp ὁ@ddfs θεαρχικός@andfss καί@cs βασιλίς@ndfsc τριάς@ndfsc ἀλλά@cs ὡς@b δοῦλος@nampc σύν@p αὐτός@rpdfs μνημονεύω@vppeamp ἴσως@b δέ@b ἕτερος@b οὗτος@rpnns νοέω@vifp3s διά@p μέν@b ὁ@dgns ὁ@dnms ὅς@vppanms καί@cs ὁ@dnms εἰμί@viia3s καί@cs ὁ@dnms ἔρχομαι@vppenms ὁ@dgms πατήρ@ngmsp σημαίνω@vppegms ὁ@dgms περιέχω@vppagms ἐν@p ἑαυτοῦ@rpdns πᾶς@angnp- ὁ@dgnp εἰμί@vppagnp ὁ@dafs τε@b ἀρχή@nafsc καί@cs ὁ@danp μέσος@ananp- καί@cs ὁ@danp τελευταῖος@ananp- διά@p δέ@b ὁ@dgnp ἑπτὰ@ πνεῦμα@ngnpc ὁ@dgfp ἐνέργεια@angfp- ὁ@dgns ζωοποιός@angns- πνεῦμα@ngnsp διά@p δέ@b ὁ@dgms ἕπομαι@vppegms χριστός@ngmsp ὁ@dgms θεός@ngmsp ὁ@dgms διά@p ἐγώ@rpamp ἄνθρωπος@ngmsc γίγνομαι@vpamgms πολλαχοῦ@b γάρ@b ἀδιάφορος@b ἕκαστος@annfs- θεικός@annfs- ὑπόστασις@nnfsc ὁ@ddms ἀπόστολος@ndmsp προτάσσω@vipe3s καί@cs ὑποτάσσω@vipe3s ὡς@cs δέ@b ὁ@ddms θεόλογος@ndmsc γρηγόριος@ndmsp δοκέω@vipa3s εἰς@p ὁ@dams χριστός@namsp ἐκλαμβάνω@vire3s ὁ@dnns ὁ@dnms εἰμί@rpgnp καί@b ὁ@dnms εἰμί@viia3s καί@cs ὁ@dnms ἔρχομαι@vppenms"
"Ps-Oec.Rev.com._1.5","ὅς@b μάρτυς@nnmsc πιστός@annms- εἰμί@vipa3s οὗτος@rpnms εἰμί@vipa3s φημί@vipa3s ὁ@dnms μαρτυρέω@vpaanms ἐπί@p πόντιος@ngmsp πιλάτος@ngmsp ὁ@dnms πιστός@annms- ἐν@p πᾶς@andmp- ὁ@ddmp λόγος@ndmpc αὐτός@rpgms ὁ@dnms ἐκ@p νεκρός@ngmpc πρωτότοκος@annms- ὅς@rpgnp γάρ@b αὐτός@rpnms κατάρχω@vipa3s οὐκέτι@b καθώς@b ὁ@dnmp πρότερος@b θνήσκω@vpaanmp καί@cs ἀνίστημι@vpaanmp ὁράω@vifm3p θάνατος@namsc ἀλλά@cs αἰώνιος@b ζάω@vifm3p καί@cs ὁ@dnms ἄρχων@vppanms ὁ@dgmp βασιλεύς@ngmpc ὁ@dgfs γῆ@ngfsc ἄρχων@vppanms δέ@b ὁ@dgmp βασιλεύς@ngmpc ὡς@cs βασιλεύς@nnmsc ὁ@dgmp βασιλεύω@vppagmp ἄρχων@vppanms δέ@b ὁ@dgmp βασιλεύς@ngmpc ὁ@dgfs γῆ@ngfsc καί@b ἕτερος@b ὁ@dgmp γήϊνος@ngmpc λέγω3@vipe3s ὁ@ddms ἀγαπάω@vppadms ἐγώ@rpacp καί@cs λύω@vpaadms ἐγώ@rpacp ἀπό@p ὁ@dgfp ἁμαρτία@ngfpc ἐγώ@rpgcp ἐν@p ὁ@ddns αἷμα@ndnsc αὐτός@rpgms οὗτος@rpdms φημί@vipa3s ὁ@dnfs δόξα@nnfsc πρέπω@vipa3s ὁ@ddms διά@p ἀγάπη@nafsc ὁ@dgmp δεσμός@ngmpc ὁ@dgms θάνατος@ngmsc λύω@vpaadms ἐγώ@rpamp καί@b ὁ@dgfp ὁ@dgfs ἁμαρτία@ngfsc κηλίς@ngfpc λούω@vpaadms ὁ@ddfs ἐκχέω@ndfsc ὁ@dgns ζωοποιός@angns- αὐτός@rpgns αἷμα@ngnsc καί@cs ὕδωρ@ngnsc καί@cs ποιέω@vpaadms ἐγώ@rpamp βασίλειον@anans- ἔθνος@nansc ἀντί@p ἄλογος@angfp- θυσία@ngfpc σαν@b ὁ@dafs λογικός@anafs- θυσία@nafsc ὁ@ddms πατήρ@ndmsp"
"Ps-Oec.Rev.com._1.7","εἶδον@ngmsp ἔρχομαι@vipe3s μετά@p νεφέλη@ngnpc ὁ@dnms ἐνταῦθα@b φημί@vipa3s ὡς@b ἀμνός@annms- σφαγιάζω@vpapnms ἐν@p ὁ@ddfs πατρικός@andfs- δόξα@ndfsc κριτής@nnmsc ἐπί@p ὁ@dgfp νεφέλη@ngfpc ἔρχομαι@vifm3s εἰ@cs τε@cs ἀσώματος@b νοέω@vppegnp διά@p ὁ@dgfp νεφέλη@ngnpc νοερός@angfp- δύναμις@ngfpc ἔρχομαι@vppeams δέ@b αὐτός@rpams μετά@p δόξα@ngfsc πᾶς@annms- μέν@b ὀφθαλμός@nnmsc ὁράω@vifm3s ὁ@dnmp δέ@cs ἐκκεντέω@vpaanmp καί@cs πᾶς@annfp- ὁ@dnfp ὁ@dgfs γῆ@ngfsc φυλή@nnfpc ὁ@dnfp ὁ@ddfs ἀπιστία@ndfsc ἐμμένω@vpaanfp κόπτω@vifm3p ὁ@dnns δέ@b ναί@i ἡμός@annns- ἀντί@p ὁ@dgns πάντως@b ὁ@dams αὐτός@anams- νόος@namsc τῆ@ddfs ἑλληνίς@ndmsp καί@cs ἑβραῖος@ndmsp διά@ndfsc γλῶσσα@ndfsc σημαίνω@viaa3s ὁ@dnns γάρ@x ἡμός@annns- ἑρμηνεύω@vipe3s γίγνομαι@voam3s"
"Ps-Oec.Rev.com._1.8","ἐγώ@rpncs εἰμί@vipa1s ὁ@dnns ἀλφός@nnfsp καί@cs ὁ@dnms ὠμέγας@nnmsp ὁ@dnms χριστός@nnmsp ἐνταῦθα@b δηλόω@vipe3s ἅτε@x θεός@nnmsp καί@cs κρατέω@vppanms ὁ@dgmp ἅπας@angmp- ἄναρχος@nnmsc τε@x ὁμοῦ@b καί@cs ἀτελεύτητος@annms- εἰμί@vppanms καί@b πρόειμι1@vppanms καί@cs πέρας@nansc οὐ@b ἔχω@vppanms ὡς@b ὁ@ddms πατήρ@ndmsp συναΐδιος@annms- ὁ@dgfp θεοπρεπής@angfp- φωνή@ngfpc ὁμότιμος@b ἐφαρμόζω@vppagfp ἕκαστος@andfs- θεικός@andfs- ὑπόστασις@ndfsc καί@cs κοινῇ@b ὁ@ddfp τρεῖς@andfp- πλήν@p ὁ@dgmp ἰδιώτης@angfp- ἤγουν@viia3p σχέσις@ngfpc καί@cs ὁ@dgfs ὁ@dgms λόγος@ngmsp ἐνανθρώπησις@ngfsc καί@b δῆλος@annns- ἐκ@p ὅς@rpgnp ὁ@dams τρισάγιον@anams- ὁ@dgmp σεραφίμ@ngmpp ὕμνος@namsc ἐν@p μέν@b ὁ@ddns εὐαγγέλιον@ndnsp εἰς@p ὁ@dams υἱός@namsp μανθάνω@vipa1p λέγω3@vnpe-- ἐν@p δέ@cs ὁ@ddfs δημηγορία@ndfsc παῦλος@ngmsp ἐν@p ὁ@ddfp πρᾶξις@ndfpp εἰς@p ὁ@dans πνεῦμα@nansp ὁ@dans ἅγιος@anans- ἐν@p δέ@b ὁ@ddfs ὁ@dgnp μυστήριον@ngnpc προσφορά@ndfsc εἰς@p ὁ@dams πατήρ@namsp πρός@p ὅς@rpams ὁ@dafs τοιοῦτος@anafs- εὐχή@nafsc ἐθίζω@vile1p ποιέω@vnpa--"
"Ps-Oec.Rev.com._1.9","ἐγώ@rpnms ἰώαννης@nnmsp ὁ@dnms ἀδελφός@nnmsc σύ@rpgmp καί@cs κοινωνός@nnmsc ἐν@p τῆ@ddfs θλίψις@ndfsc ἅτε@dnms ἀδελφός@nnmsc σύ@rpgmp φημί@vipa3s εἰμί@vppanms καί@cs κοινωνός@nnmsc ἐν@p ὁ@ddfp διά@p χριστός@namsp θλίψις@ndfpc εἰκότως@b ὁ@dans ἀξιόπιστος@anans- πα@anans- σύ@rpdcp κτάομαι@vire1s διά@p γάρ@b ὁ@dafs μαρτυρία@nafsc ἰησοῦς@ngmsp πάτμος@nafsp οἰκέω@vnpa-- ὁ@dafs νῆσος@nafsc καταδικάζω@vpapnms ἀπαγγέλλω@vipa1s ὁ@danp ὁράω@vpreanp ἐν@p αὐτός@rpdfs μυστήριον@nanpc"
"Ps-Oec.Rev.com._1.10","γίγνομαι@viam1s ἐν@p πνεῦμα@ndnsc ἐν@p τῆ@ddfs κυριακός@andfs- ἡμερίς@ndfsc πνεῦμα@ndnsp ἅγιος@andns- γίγνομαι@vpamnms κάτοχος@nnmsc καί@cs πνευματικός@anans- οὖς@nansc κτάομαι@vpamnms ἐν@p ὁ@ddfs κυριακός@andfs- ἡμέρα@ndfsc καί@b ἐν@p οὗτος@rpdns τιμάω@vpapdfs διά@p ὁ@dafs ἀνάστασις@nafsc φωνή@ngfsc ἀκούω@viaa3s σάλπιγξ@ndfsc ἔοικα@vppegfs διά@p ὁ@dans μεγαλόφωνος@anans- δηλόω@vppagfs ὁ@dans ὁ@dgms θεός@ngmsp ἄναρχος@anans- τε@b καί@cs ἀτελεύτητος@anans- διά@p ὁ@dgns α@ καί@cs ὁ@dgns ω@ δηλέομαι@vppeans ἐκ@p ὅς@rpgfs ἐντέλλω@vire3s ὁ@danp κραίνω@vpapanp ὁ@ddfp ἑπτὰ@an---- ἐκκλησία@ndfpc διαπέμπω@vnam-- διά@p ὁ@dams προλέγω@vpapams ἑβδοματικός@anams- ἀριθμός@namsc ὁ@dams εἰς@p ὁ@dams σαββατισμός@namsc καταντάω@vppaams ὁ@dgms αἰών@ngmsc ὁ@dgms μέλλω@vppagms"
"Ps-Oec.Rev.com._1.12","καί@cs ἐπιστρέφω@viaa1s βλέπω@vnpa-- ὅτι@cs οὐ@b εἰμί@viia3s αἰσθητός@annfs- ὁ@dnfs φωνή@nnfsc δηλόω@vipa3s λέγω3@vppanms ἐπιστρέφω@viaa1s οὐ@b ὁ@dgns ἀκούω@vnaa-- ἀλλά@cs ὁ@dgns βλέπω@vnpa-- ὁ@dafs φωνή@nafsc ὁ@dnns αὐτός@rpnns γάρ@b εἰμί@vipa3s ὁ@dnfs πνευματικός@annfs- ἀκοή@nnfsc τε@cs καί@cs ὅρασις@nnfsc ἐπιστρέφω@vpaanms δέ@b φημί@vipa3s οἶδα@viaa1s ἑπτὰ@an---- λυχνία@nafpc ὅς@rpafp παράκατίημι@vppanms ὁ@dafp ἐκκλησία@nafpc ἐννοέω@viaa3s καί@cs ἐν@p μέσος@andns- αὐτός@rpgfp ὁ@dams χριστός@namsp ὅμοιος@anams- ἄνθρωπος@ndmsc διά@p ὁ@dans καί@b θεός@namsp αὐτός@rpams εἰμί@vnpa-- καί@cs οὐ@b ψιλός@anams- ἄνθρωπος@namsc ἐνδύω@vpreams ποδήρης@nanpc ὡς@cs ἀρχιερεύς@namsc ὁ@dgmp ἄνω@b κατά@p τάξις@nafsc μελχισεδὲκ@nafsp ζώνη@nafsc καί@cs χρύσεος@anafs- περιζώννυμι@vpreams οὐ@b ἐν@p ὁ@ddfs ὀσφῦς@ndfsc ὥσπερ@cs ὁ@dnmp λοιπός@annmp- ἄνθρωπος@nnmpc πρός@p ἐποχή@nafsc ὁ@dgfp ἡδονή@ngfpc οὗτος@rpdfp γάρ@b ὁ@dnfs θεῖος1@nnfsc σάρξ@b ἀνεπίβατος@annfs- ἀλλά@cs ἐν@p στῆθος@vipa3s πρός@p ὁ@ddmp μαστός@ndmpc ὅπως@cs καί@b ὁ@dnns ἄσχετος@annns- ὁ@dgfs δίκαιος@angfs- καί@cs θεῖος1@angfs- ὀργή@ngfsc φιλανθρωπία@ndfsc συνχέω@vspe3s καί@cs ὁ@dnfs ὁ@dafp δύο@an---- διαθήκη@nafpc ἤγουν@viia3p ὁ@damp δεσποτικός@anamp- μαστός@nampc ζώννυμι@vppanfs δείκνυμι@vsap3s ἀλήθεια@nanpc διά@p ὅς@rpgmp ὁ@dnmp πιστός2@annmp- τρέφω@vipe3p χρύσεος@annfs- δέ@b ὁ@dnfs ζώνη@nnfsc διά@p ὁ@dans τίμιος@anans- καί@b καθαρός@anans- καί@cs ἀκίβδηλος@anans- λευκός@annfp- δέ@b ὁ@dnfp ὁ@dgfs κεφαλή@ngfsc θρίξ@nnfpc ὡσεί@cs ἔριον@nnnsc ἤ1@cs ὡς@cs χιών@nnfsc εἰ@cs γάρ@b καί@b πρόσφατος@annms- διά@p ἐγώ@rpamp ἀλλά@cs ἀρχαῖος@annms- μᾶλλον@b δέ@cs προαιώνιος@annms- οὗτος@rpgns γάρ@b ὁ@dnfs λευκός@annfs- θρίξ@nnfsc σύμβολον@nnnsc ὁ@dnmp δέ@x ὀφθαλμός@nnmpc ὡς@b φλόξ@nnmsc πῦρ@ngnsc ὁ@damp μέν@x ἅγιος@anamp- φωτίζω@vppanmp ὁ@damp δέ@x βέβηλος@anamp- φλογίζω@vppanmp ὁ@damp δέ@b πούς@nampc ὁ@dafs μετά@p σάρξ@ngfsc οἰκονομία@nafsc δεῖ@vipa3s νοέω@vnpa-- ὁ@dnmp πούς@nnmpc γάρ@b αὐτός@rpgms ὁ@ddfs θεότης@ndfsc ἐπιβαίνω@vpaanmp ὁ@dafs ἡμέτερος@anafs- σωτηρία@nafsc κατεργάζομαι@viae3p πούς@nnmpc δέ@b καί@cs ὁ@dnmp θεμέλιος@nnmpc ὁ@dgfs ἐκκλησία@ngfsp ὅμοιος@annmp- δέ@b χαλκολιβάνος@ndmsc ὅς@rpams φημί@vipa3p ὁ@dnmp ἰατρός@nnmpc εὐώδης@ananp- εὐώδης@ananp- θυμιάω@vppeams ὁ@dams παρά@p ’@p αὐτός@rpdmp καλέω@vppeams ἄρσην@anams- λίβανος@namsc χαλκός@ngmsc μέν@b ὁ@dgfs ἀνθρώπινος@angfs- λίβανος@ngmsc δέ@cs ὁ@dgfs θεῖος1@angfs- νοέω@vppegfs φύσις@ngfsc διά@p ὅς@rpafs δείκνυμι@vipe3s καί@b ὁ@dnns εὐώδης@annns- ὁ@dgfs πίστις@ngfsc καί@cs ὁ@dans ἀσύγχυτος@anans- ὁ@dgfs ἕνωσις@ngfsc ὅς@i τις@dgms χαλκός@ngmsc δηλόω@vppagms ὁ@dans ὁ@dgns κήρυγμα@ngnsc εὔηχος@anans- ὁ@dgms δέ@b λίβανος@ngmsc ὁ@dafs ὁ@dgnp ἔθνος@ngnpc ἐπιστροφή@nafsc ὅθεν@b ὁ@dnfs νύμφη@nnfsc ἔρχομαι@vnpe-- κελεύω@vipe3s πούς@nnmpc δέ@b ὁ@dgms χριστός@ngmsp καί@cs ὁ@dnmp ἀπόστολος@nnmpp ὁ@ddfs κάμινος@ndfsc ὁ@dgmp πειρασμός@ngmpc πυρόω@vpapnmp"
"Ps-Oec.Rev.com._1.15","καί@b ὁ@dnfs φωνή@nnfsc αὐτός@rpgms ὁ@dafs φωνή@nafsc αὐτός@rpgms ὡς@cs φωνή@nafsc ὕδωρ@ngnpc πολύς@angnp- λέγω3@vipa3s εἰμί@vnpa-- εἰκότως@b κοινός@annfs- γάρ@b ὁ@dnfs φωνή@nnfsc αὐτός@rpgms τε@b καί@cs ὁ@dgns πνεῦμα@ngnsp ὅς@rpgms ποταμός@nnmpc ἐκ@p ὁ@dgfs κοιλία@ngfsc ὁ@dgmp πιστός@angmp- ζάω@vppagns ὕδωρ@ngnsc ῥέω@viaa3p καί@cs εἰς@p πᾶς@anafs- ὁ@dafs γῆ@nafsc διαπρύσιος@anans- ἠχέω@viaa3p"
