"location","text"
"Sch.Pind.Nem._1.1","a@i ἄμπνευμα@nnmsp ἀνάπνευμα@nnnsc καί@cs ἀναπνοή@nnfsc ἔνιοι@annmp- δέ@b ἀναφύσημα@nansc ἀπό@p γάρ@b κατάδυσις@ngfpc ἀφανής@angfp- εἰς@p ὁ@dafs ἀρέθουσα@nafsp ἀναφαίνω@vipe3s ὁ@dnns δέ@b ἀνάπαυμα@nnnsc ἐπί@p ὁ@dgfs ἐρωτικός@angfs- σπουδή@ngfsc ἐπί@p ὁ@dgms ποταμός@ngmsc τάσσω@vipa3s ἵστημι@viaa3s γάρ@b κατά@p ὀρτυγία@nafsp ὁ@dafs νῆσος@nafsc ὁ@dnfs δέ@b ὀρτυγία@nnfsp πρότερος@anans- μέν@b εἰμί@vppanfs νῆσος@nnfsc εἶτα@b προσχωστάζω@vpapnfs χερσόνησος@nnfsc γίγνομαι@vira3s ὡς@cs καί@b ἴβυκος@nnmsp ἱστορέω@vipa3s fr@n---c 22@ παρά@p χέρσος@nafsc λίθινος@anams- ἔκλεκτος@anafs- παλάμη@ndfpc βροτός@ngmpc πρόσθεν@b νιν@rpams παῖς@namsc νήριτον@anams- ἰχθύς@nnmpc ὠμοφάγος@annmp- νέμω@viie3p σεμνός@anans- δέ@b λέγω@viaa3s ἤτοι@b ὅτι@cs οὐ@b τυγχάνω@viaa3s ὁ@dgfs συνουσία@ngfsc ὁ@dnms ἀλφειός@nnmsp ἤ1@cs διά@p ὁ@dans καθαρός@anans- ὡς@cs εὐριπίδης@nnmsp μεd@n---p θάσσω@vifa3p σεμνός@anans- ἀμφί@p πειρήνη@ngfsp ὕδωρ@nansc b@ ἄλλως@b ἄμπνευμα@nvmsc οἷος@rpans ἀναπνοή@nnfsc διά@p ὁ@dans ἀπορρώξ@namsc καί@cs οἷος@anans- στόμα@nansc εἰμί@vnpa-- ὁ@dgms ἀλφειός@ngmsp ὁ@dafs αὐτόθι@b ἀρέθουσα@nafsp ὅς@rpnfs εἰμί@vipa3s κρήνη@nnfsc ὥστε@cs καί@b ὁ@dans σημαίνω@vppeans εἰμί@vnpa-- τοιοῦτος@rpams ὦ@i ὀρτυγία@nvmsp ἐν@p ὅς@rpdms εἰμί@vipa3s ὁ@dnns ὁ@dgms ἀλφειός@ngmsp ἀνάπνευμα@nnnsc τις@rpncs ὁ@dnfs ἀρέθουσα@nnfsp ἀλλά@b οὐ@b ὁ@dafs ἀρέθουσα@nafsp ἐρῶ@vira3s ἄμπνευμα@nansc ἀλλά@cs ὁ@dafs ορτυγία@nafsp ἐν@p ὅς@rpdfs ὁ@dnms ἀλφειός@nnmsp ἀναπνέω@vipa3s ὁ@ddns περιέχω@vnpa-- ὁ@dafs ἀρέθουσα@nafsp"
"Sch.Pind.Nem._1.2","a@i θάλος@nnnsc ὀρτυγία@nnfsp ὀρτυγία@nnfsp νῆσος@nnfsc πρό@p ὁ@dgmp συρακούς@ngmsp σός@angmp- εἰς@p ὅς@rpafs διά@p πέλαγος@ngnsc φέρω@vppenms ὁ@dnms ἀλφειός@nnmsp ἐμβάλλω@vipa3s καί@cs ποιέω@vipa3s ὁ@dafs ἀρέθουσα@nafsp κρήνη@nafsc b@ ἄλλως@b κατά@p μέν@b ὁ@dafs ἱστορία@nafsc οὐ@b οὗτος@annfs- ὁ@dnfs ὀρτυγία@nnfsp κατά@p ὅς@rpafs ὁ@dnfs λητώ@nnfsp ὁ@dafs ἄρτεμις@nafsp ἀποτεκεῖν@viaa3s ἀλλά@cs περί@p ἔφεσος@nafsp ἕτερος@annfs- πλησίος@b ὁ@dgfs σικελία@ngfsp ὅς@rpafs χερσόνησος@anafs- ὁ@dgfp συρακοῦσαι@ngfpp φημί@viia1p γίγνομαι@vnre-- καί@cs αὐτός@rpafs ἱερός@nafsc ὁ@dgfs ἄρτεμις@ngfsp διά@p ὁ@dafs πρός@p δῆλος@nafsp ὁμωνυμία@nafsc ὅς@rpanp χαρίζω@vppenfp ὁ@ddfs θεός@ndfsc ὁ@dnfp νύμφη@nnfpp καί@b πηγή@nafsc ποιέω@vira3p ὄνομα@ndnsc ἀρέθουσα@nafsp ἐν@p οὗτος@andfs- ὁ@ddfs νῆσος@ndfsc ἐκ@p ὅς@rpgfs οὐ@b τε@b ἀρύω@vnam-- οὐ@b τε@cs ἰχθύς@nampc λαμβάνω@vnpa-- νόμος@nnmsc"
"Sch.Pind.Nem._1.3","δέμνιον@nansc ἄρτεμις@ngfsp ὁ@dnms μέν@b ἀρίσταρχος@nnmsp ὁ@dafs ὀρτυγία@nafsp ἀκούω@vipa3s διά@p ὁ@dans κατά@p ἔνιοι@anamp- αὐτόθι@b δοκέω@vnpa-- αὐτός@rpafs γεννάω@vnre-- προστίθημι@voaa3s δέ@b ἄν@b τις@rpnms ὅτι@cs συνήθης@b ὁ@dnms πίνδαρος@nnmsp ὁ@ddnp ὁμώνυμος@andnp- χωρίον@ndnpc ἐπιτίθημι@vipa3s καί@b ὁ@danp ἐπί@p ὁ@ddnp ἄλλος@rpdnp ἱστορέω@vppeanp καθά@b καί@b ἐπί@p ὁ@dgfp πλειάδες@ngfpp n@n---p 10@ εἰμί@vipa3s δέ@x ἔοικα@vpranns ὄρειος@vnpa-- τε@x πελειάς@ngfpp μή@cs τηλόθεν@b ὠαρίων@namsp νέομαι@vnpe-- ὄρειος@annns- δέ@b ὁ@dnns ζῷον@nnnsc ἔνιοι@annmp- δέ@b ἱστορικός@anansc ἀκούω@vipa3p ὁ@dams γάρ@b ἀλφειός@namsp φημί@vipa3p ἔρως@ndmsc ἁλίσκομαι@vpaaams ὁ@dgfs ἄρτεμις@ngfsp ἐπιδιώκω@vnaa-- αὐτός@rpafs ἄχρι@p σικελία@ngfsp ὁ@dgns δέ@b τέλος@ngnsc ὁ@dgfs δίωξις@ngfsc αὐτόθι@b γίγνομαι@vpamgns αὐτόθι@b συνίστημι@vnaa-- ὁ@dafs ἀρέθουσα@nafsp διά@p οὗτος@rpans δέ@b καί@b ὁ@dafs ἄρτεμις@nafsp ἀλφειώ@nafsp προσαγορεύω@vnpe-- καί@b ἐν@p ὀλυμπία@ndfsp δέ@b ὁ@dnms ἀλφειός@nnmsp ὁ@ddfs ἄρτεμις@ndfsp συναφίδρυμαι@vire3s καί@b ὁ@dafs ποτάμιον@nafsc δέ@b ἄρτεμις@nafsp εἰμί@vnpa-- ὅς@rpnmp παρά@p ὁ@ddms πίνδαρος@ndmsp p@n---p εἰμί@b 7@n---c ἀκούω@vipa3p διά@p ὁ@dans ἐπί@p αὐτός@rpdfs ὁ@dgms ἀλφειός@ngmsp πάθος@nansc εἰμί@vnpa-- δέ@b ὅς@rpnmp ἀλφειώ@nafsp ὁ@dafs ἄρτεμις@nafsp λέγω3@vipa3p διά@p ὁ@dans ὁ@dams ἀλφειός@namsp διά@p ὁ@dgms πλησίος@b ὁ@dgfs ἠλεία@ngfsp ἀρτεμίσιον@ngnsp καταφέρω@vnpe-- ἔχω@vopa3s δέ@b ἄν@b οὐ@b φαῦλος@b δέμνιον@nansc ἄρτεμις@ngfsp λέγω3@vnpe-- ὁ@dafs ὀρτυγία@nafsp οἷος@rpans ἐνδιαίτημα@nansc καί@cs διατριβή@nafsc ἱερός@anafs- γάρ@b ὁ@dafs πᾶς@anafs- νῆσος@nafsc φερσεφόνη@ngfsp εἰμί@vnpa-- ὅτι@cs δέ@b ὁ@dnfs αὐτός@rpnfs εἰμί@vipa3s ὁ@ddfs ἄρτεμις@ndfsp καλλίμαχος@nnmsp ἐν@p ἑκάλη@ndfsp fr@n---c ὅς@rpnmp νῦν@b καί@b ἀπόλλων@namsp παναρκής@angms- ἠέλιος@ngmsp χώρα@ndmsc διατμήγω@vipa3p καί@cs εὔπους@anafs- δηιώνη@nafsp ἄρτεμις@ngfsp"
"Sch.Pind.Nem._1.4","a@i δάλιος@ngmsp κασιγνήτη@nnmsc ὁ@dafs ὀρτυγία@nafsp ὁ@dgfs δῆλος@ngfsp κασιγνήτη@nafsc ἐρῶ@vira3s μετάγω@vppanms ὁ@danp ἐπί@p ὁ@dgmp θεός@ngmpc λέγω3@vppeanp κατά@p ὁ@dgmp τόπος@ngmpc ὅστις@rpnmp ἀπό@p ἐκεῖνος@rpgmp προσαγορεύω@viap3p ὁ@dnmp δέ@b διά@p ὁ@dafs ὁμωνυμία@nafsc ὡσανεί@b φημί@viia3s ἐν@p ὅς@rpdns ὁ@dnfs ἄρτεμις@nnfsp γεννάω@viap3s ὥσπερ@cs ἐν@p δῆλος@ndfsp ἔθω@vira3s γάρ@b ὁ@dnms πίνδαρος@nnmsp μετάγω@vnpa-- ὁ@dafp ὁμωνυμία@nafpc ὥστε@b ὁ@dnns λέγω3@vpapnns ἐπί@p ὁ@dgfs εἰς@p δῆλος@nafsp ὀρτυγία@ngfsp οὗτος@rpnns ἐπί@p ὁ@ddfs πρός@p συρακοῦσαι@ndfpp μετάγω@viap3s ἔνιοι@annmp- δέ@b κασιγνήτη@namsc ἀκούω@vipa3p ἀντί@p ὁ@dgns συγγενής@angns- διά@p ὁ@dafs ὁμοιότης@nafsc κοινός@annnp- γάρ@b ὁ@dnnp ἐπί@p ἑκάτερος@angfs- ἱστορέω@vppennp καί@b γάρ@x νῆσος@nnfsc ὁ@dnfs δῆλος@nnfsp καί@cs ὁ@dnfs ὀρτυγία@annfs- ὁ@dnfs ἐν@p συρακοῦσαι@ndfpp νῆσος@nnfsc καί@cs ὑποδέχομαι@viam3p θεός@nampc ἀμφότερος@annfp- καί@b ὁ@dnfs μέν@b ἔκρυσις@nafsc διά@p πέλαγος@ngnsc ὁ@dnfs δέ@cs ἐκ@p ὁ@dgms νεῖλος@ngmsp διά@p ὁ@dams ἰνωπός@namsp b@ ἄλλως@b δοκέω@vipa3s μέν@b πρός@p ὁ@dans βίαιος@anans- ὁ@dafs πρός@p ὁ@ddfp συρακοῦσαι@ndfpp ἀδελφή@nafsc λέγω3@vnpa-- ὁ@dgfs δῆλος@ngfsp ὁ@dans δέ@b ὅλος@anans- διά@p ὁ@dafs ὁμωνυμία@nafsc αὐτός@rpdms ὁ@dnms λόγος@nnmsc προάγω@viap3s ὁ@ ὁ@dnms δέ@b νόος@nnmsc ὦ@i σεμνός@ananss ἀνάπαυμα@nvnsc ὁ@dgns ἀλφειός@ngmsp ὁ@dgfp συρακοῦσαι@ngfpp καί@cs ὁ@dgfs σικελία@ngfsp κόσμος@nvmsc καί@cs βλάστημα@nvnsc ὁ@dgfs ἄρτεμις@ngfsp ἐνδιαίτημα@nnnpc καί@cs ὁ@dgfs δῆλος@ngfsp ἀδελφή@nnfsc ὁ@dnms δέ@b νόος@nnmsc ὦ@i σεμνός@anvns- καί@cs σεμνός@ananss ἄμπνευμα@nvnsc καί@cs ἀνάπαυμα@nansc ὁ@dgns ἀλφειός@ngmsp ὁ@dgfp συράκω@ngfpp καί@cs ὁ@dgfs σικελία@ngfsp ὁ@dgfp κλεινός@angfp- θάλος@nnnsc καί@b κόσμος@nnmdc καί@cs βλάστημα@nnnsc ὁ@dgfs ἄρτεμις@ngfsp δέμνιον@nnnsc καί@cs ἐνδιαίτημα@nnnsc καί@cs ὁ@dgfs δῆλος@ngfsp κασιγνήτη@nnfsc καί@cs ἀδελφή@nnfsc οὗτος@rpnns δέ@b καί@cs διά@p ὁ@dafs ὁμωνυμία@nafsc ὀρτυγία@nnfsp γάρ@b καί@b ὁ@dnfs δῆλος@nnfsp καλέω@viie3s καί@cs διά@p ὁ@dans θεοφιλής@anans- ἐν@p δῆλος@ndfsp γάρ@b εἰμί@viia3s ὁ@dnfs ἄρτεμις@nnfsp διά@ σύ@rpgms ἁδυεπής@annms- ἐκ@p σύ@rpgms ἡδυεπής@annfs- καί@cs εὔφημος@annfs- e@i ὁ@dnms δέ@b νόος@nnmsc ἀπό@p σύ@rpgms ὦ@i ὀρτυγία@nvmsp ὁ@dnms ἡδυεπής@annms- ὕμνος@nnmsc ὁ@dafs ὁρμή@nafsc ἔχω@vipa3s ὥστε@cs τίθημι@vnaa-- καί@cs πληρόω@vnaa-- ἔπαινος@namsc μέγας@anams- ὁ@dgmp ὀξύς2@angmps ἵππος@ngmpc ζεύς@ngmsp ἕνεκα@p ὁ@dgms ἐν@p ὁ@ddfs αἴτνη@ndfsp ζεύς@ndmsp γάρ@b ἀνάκειμαι@vipe3s καί@b οὗτος@annms- ὁ@dnms ἀγών@nnmsc f@b ἐν@p γάρ@b ὁ@ddfs αἴτνη@ndfsp ζεύς@ngmsp ἱερόν@nnnsc εἰμί@vipa3s g@ σύ@rpgms ἁδυεπής@annms- ὁ@dnms δέ@b νόος@nnmsc σύ@rpgmp καί@cs ἐκ@p σύ@rpgfs εὔφημος@annms- ὁ@dnms ὕμνος@nnmsc ὁ@dnms ἡδυεπής@annms- ὁρμάω@vipe3s ἀντί@p ὁ@rpgns ὁ@dafs ὁρμή@nafsc ἔχω@vipa3s ὥστε@cs τίθημι@vnaa-- καί@b τίθημι@vnaa-- καί@cs πληρόω@vnaa-- αἶνος@namsc καί@cs ἔπαινος@namsc μέγας@anams- ὁ@dgfp ἀελλοποδίος@ngnpc καί@cs ὁ@dgmp ὀξύς2@angmps ἵππος@ngmpc χάρις@p καί@b ἕνεκα@p ὁ@dgms ζεύς@ngmsp ὁ@dgms αἰτναῖος@angms- ὁ@dgms ἐν@p ὁ@ddfs αἴτνη@ndfsp ζεύς@ndmsp γάρ@b ἀνάκειμαι@vipe3s καί@b οὗτος@annms- ἀγών@nnmsc ἐν@p γάρ@x ὁ@ddfs αἴτνη@ndfsp ζεύς@ngmsp ἱερόν@nnnsc"
"Sch.Pind.Nem._1.7","a@i ζεύς@ngmsp αἰτναῖος@angms- ἐν@p γάρ@b ὁ@ddfs αἴτνη@ndfsp ζεύς@ngmsp ἱερόν@nnnsc εἰμί@vipa3s b@ ζεύς@ngmsp αἰτναῖος@angms- χάρις@nafsc ἤ1@b εἰς@p χάρις@p ὁ@dgms ζεύς@ngmsp ἤ1@cs ἕνεκα@p ὁ@dgms ζεύς@ngmsp παρόσον@anams- ἐν@p ὁ@ddms ἀγών@ndmsc καί@cs ἐν@p ὁ@ddfs πανήγυρις@ndfsc ὁ@dgms αἰτναῖος@angms- ζεύς@ngmsp ἀείδω@viia3p ὁ@dnmp περί@p ὁ@dams ἱέρων@namsp ὁ@damp ἐπί@p ὁ@ddmp στεφανίτης@ndmpc ἀγών@ndmpc ποιέω@vpreamp ἐπίνικος@nampc καί@cs ἀείδω@namsc πιθανός@anams- οὖν@b φημί@vipa3s ὁ@dnms δίδυμος@nnmsp καί@b ὁ@dams ἐπί@p ὁ@dgfs χρίμιος@ngmsp νεμεακός@ngfsp νίκη@ngfsc ἐπίνικος@anams- ἕνεκα@p οὗτος@rpgns συντάσσω@vnre-- ὑπέρ@p ὁ@dgns μέλλω@vnpa-- αὐτός@rpams ὑπό@p ὁ@dgfs πανήγυρις@ngfsc ἀείδω@vnfp-- ὁ@dnms δέ@b τρόπος@nnmsc ποιητικός@annms- ὥστε@cs ὁ@dans ἀπό@p ὁ@dgns αὐτόματος@angns- συμβαίνω@vppaans ὡς@b αἴτιος@anans- λαμβάνω@vnpa-- οὐ@b γάρ@b ἕνεκα@p ὁ@dgns ἀείδω@vnap-- ὁ@dams ἐπίνικος@anams- ἐν@p ὁ@ddfs πανήγυρις@ndfsc ὁ@dgms αἰτναῖος@angms- ζεύς@ngmsp νικάω@viaa3s ἀλλά@cs νικάω@vpaagms μέλλω@viia3s ὁ@dnfs εἰς@p αὐτός@rpams ᾠδή@nnfsc ἀείδω@vnfp--"
"Sch.Pind.Nem._1.8","ἅρμα@nnnsc δέ@b ὀτρύνω@vipa3s χρίμιος@ngmsp χρόμιος@nnmsp ἡνίοχος@nnmsc ἱέρων@ngmsp παίδειος@b γίγνομαι@vpranms ἅτε@b δή@b βασιλεύς@ndmsc σύνειμι@vppanms καί@cs ἄριστος@annmss εἰμί@vppanms ὁ@dafs ἱππικός@anafs- πλουτέω@viaa3s καί@cs ἄρχω@viam3s ἀφίστημι@vpaanms ὁ@dgms ἱέρων@ngmsp κατά@p ἑαυτοῦ@rpams ἱπποτροφεῖον@vnpa-- νικάω@vipa3s δέ@b νῦν@b ἵππος@ndmsc ἅρμα@ndnsc πρῶτος@anans- ἀγωνίζομαι@vpamnms"
"Sch.Pind.Nem._1.10","ζεύγνυμι@vnaa-- μέλος@nansc συντίθημι@vnaa-- ἐγκωμιαστικός@anans- μέλος@nansc εἰμί@vipa3s δέ@b ὁ@dnns σχῆμα@nnnsc περίφρασις@nnfsc"
"Sch.Pind.Nem._1.11","a@i ἀρχή@nnfpc δέ@b βάλλω@vire3p θεός@ngmpc ὁ@dgms ἐγκωμίον@ngnsc οὗτος@rpans δέ@b λέγω3@vipa3s διά@p ὁ@dans ἀπό@p θεός@ngmsc ὁ@dgfs ἄρτεμις@ngfsp κατάρχω@vnre-- ὥστε@cs ἀρχή@nafpc ὁ@danp προοίμιον@nanpc ὁ@dgfs ᾠδή@ngfsc αὐτός@rpams λέγω3@vnpa-- ἔθος@nnnsc δέ@b πίνδαρος@ndmsp θεός@ndmpc ἀνάπτω@vnpa-- ὁ@danp ὁπωσοῦν@b ὁ@ddmp ἄνθρωπος@ndmpc ἐκπονέω@vppeanp b@ ὁ@dnms δέ@b νόος@nnmsc ὁ@dnfp γάρ@b ἀρχή@nnfpc ὁ@ddfp δαιμόνιος@ndfpc καί@cs θεῖος1@andfp- ἀρετή@ndfpc ἐκεῖνος@angms- ὁ@dgms ἀνήρ@ngmsc ἐκ@p θεός@ngmpc βάλλω@vire3p ἀντί@p ὁ@dgns ἐκ@p πρῶτος@angfs- καταβολή@ngfsc ὁ@dnfs τύχη@nnfsc οὗτος@rpdms συλλαμβάνω@viaa3s"
"Sch.Pind.Nem._1.13","a@i εἰμί@vipa3s δέ@b ἐν@p εὐτυχία@ndfsc κατά@p πᾶς@ananp- μέρος@nanpc ὁ@dgms βίος@ngmsc ἄκρος@b ἔνδοξος@annms- ὁ@dnms εὐτυχής@annms- καί@b εὐριπίδης@nnmsp fr@n---c 1017@ ὁ@dams εὐτυχέω@vppaams καί@b φρονέω@vnpa-- νομίζω@vipa1p b@ ἤ1@cs οὕτως@b εἰμί@vipa3s δέ@b καί@b ἐκ@p ὁ@dgfs εὐτυχία@ngfsc καί@cs εἰς@p ἄκρον@anans- εὐδοξία@ngfsc ἀφικνέομαι@vnam--"
"Sch.Pind.Nem._1.14","μέγας@angmp- δέ@b ἆθλος@ngmpc μοῦσα@nnfsp μιμνήσκω@vnpe-- φιλέω@vipa3s ἀντί@p ὁ@rpgns μέγας@angnps ἀγώνισμα@ngnpc ὁ@dnfs μοῦσα@nnfsp μιμνήσκω@vnre-- βούλομαι@vipe3s"
