"location","text"
"Sch.Pind.Isth._1.1","a@i μήτηρ@nvfsp ἐμός@annfs- παρόσον@anams- καί@b ὁ@dnms πίνδαρος@nnmsp θηβαῖος@annms- οὗτος@annns- γάρ@b ὁ@dnns πρός@p ὁ@dams ἡρόδοτος@namsp δίκαιος@annns- καθίστημι@vipa3s ὁ@dams λόγος@namsc πρός@p ὁ@dafs θήβη@nafsp καί@cs ὁ@dgmp ἐν@p χείρ@ndfpc ἀφίημι@vpamams παραθήγω@viaa3s καί@b ὁ@dgfs ὁ@dgms ἐπίνικος@angms- γραφή@ngfsc φροντίζω@vnaa-- ἐν@p ὁ@ddns αὐτός@rpdns δέ@b καί@b πρός@p ὁ@dafs πατρίς@nafsc καί@cs πρός@p ὁ@dafs ἡρωίς@nafsc ἀπό@p ὅς@rpgfs ὁ@dnfs πόλις@nafpc καλέω@vipe3s ὁ@damp λόγος@nampc ποιέω@vipe3s ὁ@dnfs γάρ@b χρύσασπις@nnfsc ἐπί@p ὁ@dgfs ἡρωίς@ngfsc ὅς@rpafs ἀσωπός@ngmsp καί@cs μετώπη@ngfsp ὁ@dgfs λάδων@ngmsp φημί@vipa3p b@ ὁ@dnms δέ@b νόος@nnmsc ὦ@i θήβη@nvfsp ἐμός@anvfs- μήτηρ@nvfsc ὁ@dans σός@anans- πρᾶγμα@nansc καί@b πᾶς@angfs- ἀσχολία@ngfsc κρείσσων@anansc προτίθημι@vipa1s καί@cs κρίνω@vipa1s μηδαμῶς@b ἐγώ@rpdms ὁ@dnfs τραχύς@annfs- καί@cs πετρώδης@annfs- δῆλος@nnfsp νεμεσάω@voaa3s ἐπί@p ὅς@rpdns νῦν@b πᾶς@annms- ἔγκειμαι@vipe1s τίς@rpnns βελτίων@annnsc ἤ1@cs προσφιλής@annnsc ὁ@ddnp ἀγαθός@andnp- ὁ@dgfs ἑαυτοῦ@rpgmp πατρίς@ngfsc φημί@vipa3s ὁ@dnns γάρ@b κεδνός@angmp- τοκεύς@ngmpc ἀντί@p ὁ@dgms ὁ@dgfs πατρίς@ngfsc ὁ@ χρύσασπις@ndmsc ἀντί@p ὁ@rpgns τίμιος@nnfsc κατά@p ὁ@danp ὅπλον@nanpc ἐκ@p δέ@b οὗτος@rpgns ὦ@i γενναῖος@anamp- ἔχω@vppavfs ἀνήρ@nampc"
"Sch.Pind.Isth._1.3","κραναός@annfs- τραχύς@annfs- καί@cs πετρώδης@annfs- ὁ@dnfs νῆσος@nnfsc εἰμί@vipa3s δέ@b εἷς@annfs- ὁ@dgfp κίλιξ@ngfpp κατά@p ὁ@dans αἰγαῖος@anans- πέλαγος@nansc ἐκ@p οὗτος@rpgns δῆλος@annns- ὅτι@cs εἰς@p δῆλος@nafsp γράφω@viia3s κείω@ndmpp ὥστε@cs καί@b ὑποβάλλω@vppanms φημί@vipa3s 8@an---- ἐν@p κέως@ndmsp ἀμφίρυτος@andms-"
"Sch.Pind.Isth._1.4","ἐν@p ὅς@rpdns χέω@vire1s οὗτος@rpnns εἰμί@vipa3s ἐπί@p ὅς@rpdns νῦν@b ὁ@ddfs δῆλος@ndfsp ὁ@dafs σπουδή@nafsc ἔχω@viia1s ὁ@dgfs γραφή@ngfsc"
"Sch.Pind.Isth._1.6","a@i εἴκω@vmaa2s ὦ@i ἀπολλωνιάς@nafpc ἀμφότερος@angfp- σύ@b χάρις@ngfpc σύν@p θεός@ndmpc δύο@ χάρις@ngfpc εἷς@angfs- μέν@b ὅτι@cs αὐτός@rpdfs ὁ@dans ἀσυμπέραστος@anans- γράφω@vipa3s ποίημα@nansc δεύτερος@angfs- δέ@cs ὅτι@cs πείθω@vpapnfs ὑποχωρέω@viaa3s ὁ@ddns νῦν@b ὁ@dgms ἡρόδοτος@ngmsp ἐγκώμιος@ndnsc b@ ὁ@dnns δέ@b ἑξῆς@b ὑποχωρέω@vmaa2s ὦ@i ὁ@ddms ἀπόλλων@ndmsp τιμάω@vprenfs δῆλος@nvmsp ὅτι@cs κατά@p αὐτός@rpafs γίγνομαι@viam3s ὁ@dnms θεός@nnmsc δύο@ γάρ@b χάρις@ngfpc ἕνεκα@p συμπράσσω@vppagmp ὁ@dgmp θεός@ngmpc παρασκευάζω@vifa1s σύ@rpdcs ὕμνος@namsc ὁ@ ἔνιοι@annmp- δέ@b οὕτως@b ἀμφότερος@angfp- ὁ@dgfp χάρις@ngfpc ὁ@dans τέλος@nansc συναρμόζω@vifa1s κατά@p ὅς@rpafs τε@b σύ@rpdcs χαριστέος@annns- εἰμί@vipa3s καί@cs κατά@p ὅς@rpgfp ὁ@ddfs πατρίς@ndfsc οἱονεί@b ἀμφότερος@ananp- ποιέω@vifa1s καί@cs ὁ@dams ἀπόλλων@namsp ἐν@p ὅς@andms- δεῖ@viia3s καιρός@ndmsc ὑμνέω@vifa1s καί@cs ὁ@dams ἐπίνικος@anams- πληρόω@vifa1s διά@ ὁ@dans δέ@b χορεύω@vppaans ἀντί@p ὁ@dgns μετά@p χορός@ngmsc ὑμνέω@vppanms ἐπεί@cs ὁ@dnmp χορός@nnmpc ἀπαγγέλλω@vipa3p ὁ@danp ποίημα@nanpc ἐν@p δῆλος@ndfsp εἰς@p ὁ@dams ἀπόλλων@namsp πῶς@b οὖν@b ὁ@dans δηλιακός@anans- ποίημα@nansc φημί@vipa3s ἀείδω@vnpa-- ἐν@p κέως@ndmsp μήποτε@b οὖν@b προαναλαμβάνω@vppanmp ἐν@p ὁ@ddfp πατρίς@ndfpc ὁ@dnmp χορευτής@nnmpc μελετάω@viia3p ὁ@dafp ἀοιδή@nafpc καί@cs οὕτως@b ἄπειμι@viia3p e@i ἀπό@p οὖν@b ὁ@dgns παρακολουθέω@vppagms ὁ@ddmp ὕμνος@ndmpc οὗτος@rpans φημί@vipa3s ἀντί@p ὁ@dgns ὑμνέω@vppanms ὅτι@cs μετά@p χορεία@ngfsc λέγω3@viie3p ὁ@dnmp ὕμνος@nnmpc"
"Sch.Pind.Isth._1.9","a@i ἐν@p κέως@ndmsp ἀμφίρυτος@andfs- σύν@p πόντιος@andmp- ἀνήρ@ndmpc σύν@p ὁ@ddmp κατά@p ὁ@dafs κέως@nafsp φημί@vipa3s πόντιος@anamp- δέ@b αὐτός@rpamp φημί@viia3s ὡς@b νησιώτης@nampc b@ ὁ@dnns δέ@b ἑξῆς@b καί@b ὁ@dams ἄτμητος@anams- ὁ@dafp κόμη@nafpc ἀπόλλων@namsp ὑμνέω@vppanms ἐν@p ὁ@ddfs κέως@ndfsp ὁ@ddfs ἑκατέρωθεν@b περιρρέω@vppedfs θάλασσα@ndfsc σύν@p ὁ@ddmp νησιώτης@ndmpc ἐν@ngmpc ράς@ndmpc καί@cs ὁ@dafs προβάλλω@vpreafs καί@cs ὑπό@p θάλασσα@ngfsc περιορίζω@vppeafs ὁ@dgms ἰσθμός@ngmsp ἐξοχή@nafsc ἵνα@cs εἰμί@vspa3s ὅλος@annns- ὅτι@cs ὑμνέω@vifa1s καί@b ὁ@dafs κέως@nafsp καί@b σύ@rpams ὦ@i δῆλος@nvmsp καί@cs ὁ@dams ἰσθμός@namsp καί@b ὕστερος@b σύ@rpdms πάλιν@b ὁ@dams ἐπίνικος@anams- ἀποδίδωμι@vifa1s"
"Sch.Pind.Isth._1.11","a@i στέφανος@nampc ἕξ@an---- καταχρηστικός@anansc ἀπό@p ὁ@dgmp πλείων@angmpc b@ ἄλλως@b ἤτοι@cs ἀριθμητικός@b ἕξ@ ἤ1@cs καταχρηστικός@b ἐπί@p πολύς@angnp- ὁ@ ἐπεί@cs στέφανος@nampc ἕξ@ ὀπάζω@viaa3s κάδμος@ngmsp στρατός@ndmsc διαπορέω@vipe3s τις@rpnms ἐγχειρίζω@viaa3s ὁ@ddms κάδμος@ngmsp στρατός@ndmsc τουτέστι@vipa3s ὁ@ddfp θῆβαι@ndfpp ὁ@damp στέφανος@nampc ἔνιοι@annmp- μέν@b οὖν@b ὁ@dams ἰσθμός@namsp ἀκούω@vipa3p ὡς@b ἑξάκις@b νικάω@vpragmp ὁ@dgmp θηβαῖος@ngmpp ὁ@danp ἴσθμιος@ananp- ἔνιοι@annmp- δέ@b αὐτός@anams- ὁ@dams ἡρόδοτος@namsp οὗτος@rpams γάρ@b ἑξάκις@b ἴσθμιος@ananp- νικάω@vnra-- θηβαῖος@anams- εἰμί@vppaams οὗτος@rpgnp δέ@b οὐδέτερος@rpnns ἐν@p ὁ@ddfp ἰσθμιακός@andfp- ἀναγραφή@ndfpc ὁμολογέω@vire3s διά@p ὅς@anafs- αἰτία@nafsc ὁ@dnmp ἀριστάρχειος@nnmpp ψιλόω@vppanmp καί@cs ἐπί@p ὁ@dgns νικηφόρος@angns- ἐκλαμβάνω@vppanmp ὁ@dams λόγος@namsc περισσός@anafs- εἰμί@vnpa-- φημί@vipa3p ὁ@dafs ἐκ@p πρόθεσις@nafsc ποιητικός@andfs- συνήθεια@ndfsc ὁ@dans γάρ@b ὅλος@anans- εἰμί@vnpa-- ἐπεί@cs ὀπάζω@viaa3s ὅς@rpnns εἰμί@vipa3s περιποιέω@viaa3s ἄλλως@b τε@b οὐ@b ἀναγκαῖος@nnnsc ἀριθμός@namsc κεῖμαι@vnpe-- πολύς@andns- γάρ@b μᾶλλον@b κυδαίνω@vnpe-- ὁ@dams νικάω@vpraams ἀριστόδημος@nnmsp δέ@b ὁ@dnms ἀλεξανδρεύς@nnmsp δασύνω@vppanms καί@cs διαιρέω@vppanms ὁ@dans μέν@b ἕξ@anans- ἐπί@p ὁ@dgms ἡρόδοτος@ngmsp ἀκούω@vipa3s ὁ@dans δέ@cs ὀπάζω@viaa3s ἐπί@p ὁ@dgms ἀπόλλων@ngmsp προστάτης@nnmsc γάρ@b ὁ@dgmp ἀγών@ngmpc ὁ@dnms θεός@nnmsc ἕξ@an---- οὖν@b πρόνοια@ndfsc φημί@vipa3s ὁ@dgms θεός@ngmsc νικάω@vnra-- ὁ@dams ἡρόδοτος@namsp οὐ@b ἰσθμικός@anamp- ἀγών@nampc ἀλλά@cs σύμμικτος@anamp- ὅς@rpamp καί@b αὐτός@anams- ἐπιλέγω@vnpa-- πίνδαρος@namsp ἐν@p μέν@b θῆβαι@ndfpp ἰόλεια@nnfsp ἤ1@cs ἡράκλεια@nnfsp ἐν@p δέ@b ὀρχομενός@ndmsp μινύειος@nnfsp ἐν@p δέ@b εὔβοια@ndfsp βασίλειον@nnfsp ἐν@p δέ@b θεσσαλία@ndfsp πρωτεσίλεια@nnfsp καί@cs ἐν@p ἰσθμός@ndmsp νῦν@b καί@cs ἄλλος@rpamp δέ@cs περίχωρος@anamp- ὅς@rpamp διά@p μακρός@angnp- παρέρχομαι@viaa3s ὁ@dnms πίνδαρος@nnmsp"
"Sch.Pind.Isth._1.13","ἐν@p ὅς@rpdms ἐν@p ὅς@rpdfs ὁ@ddfs θήβη@ndfsp καί@b χρήσιμος@anafss ἑαυτοῦ@rpdms ὁ@dgmp πάτριος@angmp- εἰσβολή@nafsc παρέχω@viam3s"
"Sch.Pind.Isth._1.15","a@i θρασύς@annfp- συλληπτικός@annms- ὁ@dnms τρόπος@nnmsc εἷς@ γάρ@b εἰμί@viia3s ὁ@dnms γηρυόνης@ngmsp κύων@nnmsc ἡσίοδος@nnmsp λέγω@viaa3s theog@ 309@ ὄρθος@namsp μέν@b πρῶτος@b b@ εἰς@p ὁ@dans αὐτός@rpans ἔθος@nnnsc ὁ@ddms πίνδαρος@ndmsp πρός@p ὁ@dans ἑαυτοῦ@rpgms συμφέρω@vppaans καί@cs ὁ@dafp ἱστορία@nafpc βιάζω@vnpe-- εἷς@ γάρ@b εἰμί@vppagms ὁ@dgms γηρυόνης@ngmsp κύων@ngmsc ὡς@cs γε@b καί@cs ἡσίοδος@nnmsp μαρτυρέω@vipa3s theog@ 293@ ὄρθος@namsp τε@b κτείνω@vpaanms καί@cs βουκόλος@namsc εὐρυτίων@namsp αὐτός@rpnms ὁ@ddns πληθυντικός@andns- καταχράω@vpamnms κύων@vmaa2s φημί@vipa3s καί@b μήποτε@b ἀνάξιος@anams- ἡρακλῆς@ngmsp ἡγέομαι@viam3s πρός@p ἆθλον@namsc καί@cs κατόρθωμα@nansc ὁ@dgms ἥρως@ngmsc ἀντιπαρατάσσομαι@vnaa-- ὁ@dams κύων@namsc"
"Sch.Pind.Isth._1.17","a@i ἀλλά@b ἐγώ@rpnms ἡρόδοτος@ndmsp τεύχω@viia1s ἀλλά@b ἐγώ@rpnms ὁ@ddms ἡρόδοτος@ndmsp κατασκευάζω@vppanms ὁ@dans μέν@b ὕμνος@nansc ὅτι@cs τέθριππος@ndmsc αὐτός@rpnms ἀγωνίζομαι@vpaenms διά@p ἑαυτοῦ@rpgms νικάω@viaa3s ὁ@dans δέ@b ὅτι@cs καί@b ἱπποτροφέω@viaa3s αὐτός@rpams βούλομαι@vipe1s ἐφαρμόζω@vnaa-- ἤ1@b κάστωρ@ngmsp ἤ1@cs ἰόλαος@ngmsp ὕμνος@ndmsc b@ ὅς@rpans δέ@b λέγω3@vipa3s τοιοῦτος@rpnns εἰμί@vipa3s ὁ@dams ἡρόδοτος@namsp ἱπποτροφέω@vpaaams καί@b διά@p ἑαυτοῦ@rpgms ἀγωνίζομαι@vpaeams καί@cs νικάω@vpraams ὅμοιος@b κάστωρ@ndmsp καί@cs ἰόλαος@ndmsp ἀνυμνέω@voaa1s διά@p οὗτος@rpgnp δέ@b συνίστημι@vipa3s ὅτι@cs αὐτός@annms- ἡνιοχέω@viaa3s ὁ@dnms ἡρόδοτος@nnmsp κατά@p ὁ@dams ἀγών@namsc ὁ@ ὁ@dnms δέ@b λόγος@nnmsc ἐγώ@rpnms δέ@b ὁ@dans μέλος@nansc ὁ@ddms ἡρόδοτος@ndmsp τεύχω@vppanms ὁ@dans μέν@b τις@rpans καθόσον@anans- νικάω@viaa3s ὁ@dans δέ@cs τις@rpans καθό@cs αὐτός@rpnms ἡνιοχέω@viaa3s διά@ ὁ@dnns μέν@b ἅρμα@ndnsc τέθριππος@andns- ὅτι@b αὐτός@rpnms ἱπποτροφέω@viaa3s καί@cs ἐλαύνω@viaa3s"
"Sch.Pind.Isth._1.19","ἁνία@ananp- τε@rpa-s ἀλλότριος@andfp- οὐ@b χείρ@ndfpc νωμάω@vpaaams ἐθέλω@vipa1s ἐλλείπω@vipa3s διά@p ὁ@dans νωμάομαι@vnpe--"
