formatted_work_date,cts_urn,author,title
-0899-01/-0700-12,tlg0020.tlg001,Hesiod,Theogony
-0899-01/-0700-12,tlg0020.tlg002,Hesiod,Works and Days
-0899-01/-0700-12,tlg0020.tlg003,Hesiod,Shield of Heracles
-0799-01/-0700-12,tlg0012.tlg001,Homer,Iliad
-0799-01/-0700-12,tlg0012.tlg002,Homer,Odyssey
-0799-01/-0700-12,tlg0012.tlg003,Homer,Epigrams_Homer’s Epigrams
-0699-01/-0499-12,tlg0013.tlg006,Homeric Hymns,Hymn 6 to Aphrodite
-0699-01/-0499-12,tlg0013.tlg027,Homeric Hymns,Hymn 27 to Artemis
-0699-01/-0499-12,tlg0013.tlg028,Homeric Hymns,Hymn 28 to Athena
-0699-01/-0499-12,tlg0013.tlg030,Homeric Hymns,Hymn 30 to Earth
-0699-01/-0500-12,tlg0013.tlg009,Homeric Hymns,Hymn 9 to Artemis
-0699-01/-0500-12,tlg0013.tlg010,Homeric Hymns,Hymn 10 to Aphrodite
-0699-01/-0500-12,tlg0013.tlg011,Homeric Hymns,Hymn 11 To Athena
-0699-01/-0500-12,tlg0013.tlg012,Homeric Hymns,Hymn 12 to Hera
-0699-01/-0500-12,tlg0013.tlg014,Homeric Hymns,Hymn 14 to the Mother of the Gods
-0699-01/-0500-12,tlg0013.tlg015,Homeric Hymns,Hymn 15 To Heracles
-0699-01/-0500-12,tlg0013.tlg016,Homeric Hymns,Hymn 16 To Asclepius
-0699-01/-0500-12,tlg0013.tlg017,Homeric Hymns,Hymn 17 To the Dioscuri
-0699-01/-0500-12,tlg0013.tlg018,Homeric Hymns,Hymn 18 to Hermes
-0699-01/-0500-12,tlg0013.tlg022,Homeric Hymns,Hymn 22 To Poseidon
-0699-01/-0500-12,tlg0013.tlg023,Homeric Hymns,Hymn 23 to Zeus
-0699-01/-0500-12,tlg0013.tlg024,Homeric Hymns,Hymn 24 To Hestia
-0699-01/-0500-12,tlg0013.tlg025,Homeric Hymns,Hymn 25 To the Muses and Apollo
-0699-01/-0500-12,tlg0013.tlg026,Homeric Hymns,Hymn 26 To Dionysus
-0699-01/-0500-12,tlg0013.tlg029,Homeric Hymns,Hymn 29 to Hestia
-0699-01/-0500-12,tlg0013.tlg033,Homeric Hymns,Hymn 33 To the Dioscuri
-0699-01/-0649-12,tlg0013.tlg001,Homeric Hymns,Hymn 1 to Dionysus
-0649-01/-0574-12,tlg0013.tlg005,Homeric Hymns,Hymn 5 to Aphrodite
-0626-01/-0586-12,tlg0629.tlg001,Periander,Epistulae
-0624-01/-0574-12,tlg0013.tlg002,Homeric Hymns,Hymn 2 to Demeter
-0624-01/-0599-12,tlg0013.tlg004,Homeric Hymns,Hymn 4 to Hermes
-0599-01/-0549-12,tlg0013.tlg003,Homeric Hymns,Hymn 3 to Delian and Pythian Apollo
-0599-01/-0574-12,tlg0013.tlg013,Homeric Hymns,Hymn 13 to Demeter
-0539-01/-0479-12,tlg0626.tlg002,Heraclitus of Ephesus,Fragmenta
-0524-01/-0474-12,tlg0013.tlg007,Homeric Hymns,Hymn 7 to Dionysus
-0521-01/-0521-12,tlg0013.tlg021,Homeric Hymns,Hymn 21 To Apollo
-0499-01/-0001-12,tlg0064.tlg001,Hanno,Periplus Hannonis
-0499-01/-0400-12,tlg0011.tlg008,Sophocles,Ichneutae
-0499-01/-0400-12,tlg0013.tlg020,Homeric Hymns,Hymn 20 To Hephaestus
-0499-01/-0400-12,tlg0013.tlg031,Homeric Hymns,Hymn 31 to Helios
-0499-01/-0400-12,tlg0013.tlg032,Homeric Hymns,Hymn 32 To Selene
-0499-01/-0499-12,tlg0013.tlg019,Homeric Hymns,Hymn 19 to Pan
-0497-01/-0445-12,tlg0033.tlg001,Pindar,Olympian
-0497-01/-0445-12,tlg0033.tlg002,Pindar,Pythian
-0497-01/-0445-12,tlg0033.tlg003,Pindar,Nemean
-0497-01/-0445-12,tlg0033.tlg004,Pindar,Isthmean
-0489-01/-0450-12,tlg0199.tlg001,Bacchylides,Epinicians
-0489-01/-0450-12,tlg0199.tlg002,Bacchylides,Dithyrambs
-0479-01/-0410-12,tlg0028.tlg002,Antiphon,The First Tetralogy
-0479-01/-0410-12,tlg0028.tlg003,Antiphon,The Second Tetralogy
-0479-01/-0410-12,tlg0028.tlg004,Antiphon,The Third Tetralogy
-0471-01/-0471-12,tlg0085.tlg002,Aeschylus,Persians
-0469-01/-0469-12,tlg0627.tlg006,Hippocrates,Epidemiarum
-0466-01/-0466-12,tlg0085.tlg004,Aeschylus,Seven Against Thebes
